"","stationcode","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"15","402BA0287",0,0,-0.00605,0,0,0,0.0027,0.00145,0,0,-0.00045,-6e-04,-0.001,NA,NA,NA
"16","402BA0335",-4,-4,26.2332,5e-04,0,0,0.0375,0.636,-3,-97,0.6766,0.8056,13.4249,-5,88.5127,0
"17","402WE0536",0,0,-0.0043,0,0,0,0.0014,0,0,0,-3e-04,-0.001,-0.0069,NA,NA,NA
"18","402WE0803",0,0,-0.0225,0,0,0,0.00275,-0.00055,0,0,-0.001,-0.001,0.0022,-31,0.1554,0
"19","403BA0015",0,0,-0.0019,0,0,0,-0.1372,-0.018,0,-11,0,0,-0.00025,NA,NA,NA
"20","403BA0027",0,0,-0.0322,0,0,0,0.0081,0.0057,0,0,-1e-04,-1e-04,-0.0277,NA,NA,NA
"21","403BA0171",0,0,-0.146,0,0,0,-0.005,-0.0286,0,0,-0.0069,-0.0189,0.145,2,0.1167,0
"22","403BA0960",0,-72,0,0,0,1,0,0,-1,-2,0,0,0,NA,NA,NA
"23","403CE0188",-5,-3,2.8005,2e-04,0,0,0.004,-0.0797,-1,-5,0.1042,0.1896,1.526,2,-6.8261,-7
"24","403S00640",-2,-2,-0.0655,0,0,-3,0.01565,0.56725,-4,1.5,-0.0102,0.0012,-0.00545,-1,1.8923,-8
"25","403S00831",0,0,-0.0029,0,0,0,0.0016,-0.00015,0,0,7e-04,-3e-04,-0.00265,NA,NA,NA
"26","403S00875",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,NA,NA,NA
"27","403S01195",0,0,1.15605,0,0,0,-0.0054,-0.0074,0,0,-0.0167,-0.0257,0.6627,0,4.0565,0
"28","403S01536",-2,27,0,-0.0298,-29,-25,-0.832,1.5,-4,-2,0,0.1,0,NA,NA,NA
"29","403S01707",0,0,0.04865,0,0,0,0.0071,0.02965,0,0,0.0011,-0.0163,0.19775,NA,NA,NA
"30","403S01728",-42,-43,1.0625,0.0458,0,41,0,1.6,0,-4,0.01,0,0.4165,NA,NA,NA
"31","403S02363",0,0,1.0653,0,0,0,-0.007,-0.0355,0,0,-0.0172,-0.0239,1.22985,0,5.2596,0
"32","403S03643",0,0,1.06155,0,0,0,-0.0069,-0.0159,0,0,-0.01465,-0.02185,1.2016,0,5.2351,0
"33","403S05291",0,0,1.129,0,0,0,-0.0066,-0.0183,0,0,-0.0497,-0.0211,0.5949,0,3.562,0
"34","403S06139",0,0,1.1594,0,0,0,-0.0061,-0.0193,0,0,-0.0151,-0.0235,0.7515,0,4.3777,0
"35","403S06315",0,0,-0.0252,0,0,0,0.0266,0.0668,0,-1,0.0099,-0.0048,0.0047,NA,NA,NA
