"","Hydraena","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2203,0.0676398885825115,0.372960111417489,"DS_Tim",0.0144,0.00442130910389544,0.0243786908961046
"DS_Mag_50","DS_Mag_50",0.6079,0.57006413035227,0.64573586964773,"DS_Mag_50",0.0598,0.0538405040481598,0.0657594959518402
"DS_Mag_90","DS_Mag_90",0.64405,0.637847966422213,0.650252033577787,"DS_Mag_90",0.0622,0.0540230171823588,0.0703769828176412
"SP_ROC","SP_ROC",1,1,1,"SP_ROC",0.1631,0.162060553031656,0.164139446968344
"SP_Dur","SP_Dur",0.4304,0.377873279866339,0.482926720133662,"SP_Dur",0.0302,0.022577388898809,0.037822611101191
"SP_Mag","SP_Mag",0.523,0.458692880891771,0.587307119108229,"SP_Mag",0.0352,0.0339526636379869,0.0364473363620131
"SP_Tim","SP_Tim",0.4206,0.190882219995926,0.650317780004074,"SP_Tim",0.0283,0.0111837732545984,0.0454162267454016
"Wet_BFL_Dur","Wet_BFL_Dur",0.6735,0.615983934418286,0.731016065581714,"Wet_BFL_Dur",0.0337,0.0329377388898809,0.0344622611101191
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.2147,0.189406790436957,0.239993209563043,"Wet_BFL_Mag_10",0.0091,0.00778336717343065,0.0104166328265694
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.1523,0.046761484480783,0.257838515519217,"Wet_BFL_Mag_50",0.0143,0.00439060556845172,0.0242093944315483
"Wet_Tim","Wet_Tim",0.6593,0.606496094008113,0.712103905991887,"Wet_Tim",0.1083,0.0778788520597924,0.138721147940208
"DS_Dur_WS","DS_Dur_WS",0.46815,0.419677123042881,0.516622876957119,"DS_Dur_WS",0.0384,0.0278669373874452,0.0489330626125548
"Q99","Q99",0.61535,0.597436863912201,0.633263136087799,"Q99",0.0496,0.0374038222380944,0.0617961777619056
"FA_Dur","FA_Dur",0,0,0,"FA_Dur",0,0,0
"FA_Mag","FA_Mag",0.326,0.129821708841167,0.522178291158833,"FA_Mag",0.0303,0.0109662863887974,0.0496337136112026
"FA_Tim","FA_Tim",0.50435,0.502790829547484,0.505909170452516,"FA_Tim",0.0386,0.0376298494962121,0.0395701505037879
