"","Physa","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.30192,0.236820596395205,0.367019403604795,"DS_Tim",0.12388,0.08949599087948,0.15826400912052
"DS_Mag_50","DS_Mag_50",0.36408,0.270735016719162,0.457424983280838,"DS_Mag_50",0.2418,0.161907216746442,0.321692783253558
"DS_Mag_90","DS_Mag_90",0.39554,0.309065559936476,0.482014440063524,"DS_Mag_90",0.21744,0.15724081672647,0.27763918327353
"SP_ROC","SP_ROC",0.14564,0.0969106812863139,0.194369318713686,"SP_ROC",0.08444,0.0427097518962564,0.126170248103744
"SP_Dur","SP_Dur",0.24098,0.131789888216927,0.350170111783073,"SP_Dur",0.10112,0.024412018842887,0.177827981157113
"SP_Mag","SP_Mag",0.30664,0.173849843597878,0.439430156402122,"SP_Mag",0.21232,0.115347908091039,0.309292091908961
"SP_Tim","SP_Tim",0.29476,0.212278017492909,0.377241982507091,"SP_Tim",0.172,0.11162722746138,0.23237277253862
"Wet_BFL_Dur","Wet_BFL_Dur",0.39246,0.269798976191294,0.515121023808706,"Wet_BFL_Dur",0.08264,0.0544024431864228,0.110877556813577
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.14332,0.0728334071776767,0.213806592822323,"Wet_BFL_Mag_10",0.05172,0.0251516415034726,0.0782883584965274
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.25382,0.147007010826398,0.360632989173602,"Wet_BFL_Mag_50",0.1424,0.07961996545079,0.20518003454921
"Wet_Tim","Wet_Tim",0.41446,0.303253673620607,0.525666326379393,"Wet_Tim",0.20932,0.140737201156558,0.277902798843442
"DS_Dur_WS","DS_Dur_WS",0.23858,0.153725917480654,0.323434082519346,"DS_Dur_WS",0.12236,0.052516196847537,0.192203803152463
"Q99","Q99",0.4855,0.420550541588093,0.550449458411907,"Q99",0.27084,0.222141572419636,0.319538427580364
"FA_Dur","FA_Dur",0.14226,0.0893048655057888,0.195215134494211,"FA_Dur",0.06848,0.0501893297771787,0.0867706702228213
"FA_Mag","FA_Mag",0.26202,0.214899176050285,0.309140823949715,"FA_Mag",0.13736,0.108949683373816,0.165770316626184
"FA_Tim","FA_Tim",0.48502,0.417927221706058,0.552112778293942,"FA_Tim",0.25032,0.203040580743837,0.297599419256163
