"","Ordobrevia nubifera","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.296775,0.269328164913783,0.324221835086217,"DS_Tim",0.0649,0.0518062073230608,0.0779937926769392
"DS_Mag_50","DS_Mag_50",0.273575,0.156020201829459,0.391129798170541,"DS_Mag_50",0.059,0.0265709327505914,0.0914290672494086
"DS_Mag_90","DS_Mag_90",0.30445,0.20015854841519,0.40874145158481,"DS_Mag_90",0.0525,0.0241115013664571,0.0808884986335429
"SP_ROC","SP_ROC",0.159875,0.121276218686121,0.198473781313879,"SP_ROC",0.037,0.00855702997224094,0.065442970027759
"SP_Dur","SP_Dur",0.592125,0.497729145248586,0.686520854751414,"SP_Dur",0.05405,0.0228279756635373,0.0852720243364627
"SP_Mag","SP_Mag",0.36365,0.319755835737158,0.407544164262842,"SP_Mag",0.07225,0.053993504799661,0.090506495200339
"SP_Tim","SP_Tim",0.365525,0.332462854411477,0.398587145588523,"SP_Tim",0.087,0.0525691163827202,0.12143088361728
"Wet_BFL_Dur","Wet_BFL_Dur",0.440325,0.366932733316672,0.513717266683328,"Wet_BFL_Dur",0.01525,0.00607129153965548,0.0244287084603445
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.191975,0.0280041531493581,0.355945846850642,"Wet_BFL_Mag_10",0.03195,0.00649484191759949,0.0574051580824005
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.197025,0.113683212760644,0.280366787239355,"Wet_BFL_Mag_50",0.0288,0.0221963220349061,0.0354036779650939
"Wet_Tim","Wet_Tim",0.555975,0.478581888767475,0.633368111232525,"Wet_Tim",0.16075,0.128318921433292,0.193181078566708
"DS_Dur_WS","DS_Dur_WS",0.5044,0.45049205664592,0.55830794335408,"DS_Dur_WS",0.0578,0.02944574731485,0.08615425268515
"Q99","Q99",0.28865,0.150204256775443,0.427095743224557,"Q99",0.06925,0.0119662056569807,0.126533794343019
"FA_Dur","FA_Dur",0.363625,0.215514356523859,0.511735643476141,"FA_Dur",0.02905,0.0136727673599354,0.0444272326400646
"FA_Mag","FA_Mag",0.3345,0.251014995051007,0.417985004948993,"FA_Mag",0.0431,0.0299630034381269,0.0562369965618731
"FA_Tim","FA_Tim",0.5962,0.541192791181519,0.651207208818481,"FA_Tim",0.12945,0.104807156745484,0.154092843254516
