"","Stempellinella","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.28436,0.204116073402406,0.364603926597594,"DS_Tim",0.0726,0.0355582685879831,0.109641731412017
"DS_Mag_50","DS_Mag_50",0.24778,0.138396368097416,0.357163631902584,"DS_Mag_50",0.07496,0.0285305723619168,0.121389427638083
"DS_Mag_90","DS_Mag_90",0.399,0.278567185358392,0.519432814641608,"DS_Mag_90",0.06664,0.0344157729836696,0.0988642270163304
"SP_ROC","SP_ROC",0.2906,0.171927710397498,0.409272289602502,"SP_ROC",0.07108,0.0570509996364673,0.0851090003635327
"SP_Dur","SP_Dur",0.14318,0.0857004477122516,0.200659552287748,"SP_Dur",0.03008,0.00649123510651734,0.0536687648934827
"SP_Mag","SP_Mag",0.41294,0.308238582250287,0.517641417749713,"SP_Mag",0.06076,0.0404293809538421,0.0810906190461579
"SP_Tim","SP_Tim",0.41264,0.317068639643981,0.508211360356019,"SP_Tim",0.0476,0.0309957225992818,0.0642042774007182
"Wet_BFL_Dur","Wet_BFL_Dur",0.34398,0.248351372274303,0.439608627725697,"Wet_BFL_Dur",0.13588,0.0943739860598491,0.177386013940151
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.23944,0.14944265495416,0.32943734504584,"Wet_BFL_Mag_10",0.07612,0.0479371525711116,0.104302847428888
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.22362,0.145558906008178,0.301681093991822,"Wet_BFL_Mag_50",0.04308,0.0280307605773581,0.0581292394226419
"Wet_Tim","Wet_Tim",0.42122,0.267507388938968,0.574932611061032,"Wet_Tim",0.19804,0.0950961100268695,0.300983889973131
"DS_Dur_WS","DS_Dur_WS",0.23082,0.130003637782848,0.331636362217152,"DS_Dur_WS",0.04896,0.0240987500957816,0.0738212499042184
"Q99","Q99",0.40186,0.326962313077773,0.476757686922227,"Q99",0.12792,0.0955698600744912,0.160270139925509
"FA_Dur","FA_Dur",0.3145,0.180352957645351,0.448647042354649,"FA_Dur",0.06964,0.0330606286440021,0.106219371355998
"FA_Mag","FA_Mag",0.28496,0.188724133477689,0.381195866522311,"FA_Mag",0.06104,0.0283982462664764,0.0936817537335236
"FA_Tim","FA_Tim",0.24602,0.15582191720053,0.33621808279947,"FA_Tim",0.10956,0.0580211114516427,0.161098888548357
