"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,1,1,1,1,1,0.999999999867791,"Acari","glm"
"2",2,0.826,0.653,0.707,0.667,0.986,1,"Acari","glm"
"3",3,0.761,0.523,0.617,0.538,0.984,1,"Acari","glm"
"4",4,0.75,0.5,0.655,0.5,1,1,"Acari","glm"
"5",5,0.667,0.333,0.49,0.333,1,1,"Acari","glm"
"6",6,0.494,-0.013,-0.02,0,0.987,1,"Acari","glm"
"7",7,0.6,0.2,0.319,0.2,1,1,"Acari","glm"
"8",8,0.961,0.828,0.778,0.857,0.971,0.406614428660503,"Acari","glm"
"9",9,0.73,0.46,0.46,0.5,0.96,1,"Acari","glm"
"10",10,0.75,0.5,0.649,0.5,1,1,"Acari","glm"
"11",11,0.987,0.934,0.637,1,0.934,0.2,"Acari","tree"
"12",12,0.926,0.833,0.435,1,0.833,0.285714285714286,"Acari","tree"
"13",13,0.948,0.798,0.657,0.923,0.875,0.428571428571429,"Acari","tree"
"14",14,0.897,0.747,0.23,1,0.747,0.111111111111111,"Acari","tree"
"15",15,0.965,0.908,0.428,1,0.908,0.2,"Acari","tree"
"16",16,0.975,0.949,0.644,1,0.949,0.5,"Acari","tree"
"17",17,0.963,0.918,0.589,1,0.918,0.4,"Acari","tree"
"18",18,0.971,0.899,0.62,1,0.899,0.333333333333333,"Acari","tree"
"19",19,0.936,0.853,0.463,1,0.853,0.285714285714286,"Acari","tree"
"20",20,0.973,0.92,0.63,1,0.92,0.333333333333333,"Acari","tree"
"21",21,0.997,0.987,0.903,1,0.987,0.156951677176543,"Acari","brt"
"22",22,0.991,0.944,0.723,1,0.944,0.11230705158184,"Acari","brt"
"23",23,0.927,0.799,0.776,0.846,0.953,0.245498384555718,"Acari","brt"
"24",24,0.983,0.933,0.586,1,0.933,0.0807106023935346,"Acari","brt"
"25",25,0.991,0.987,0.851,1,0.987,0.101914542409979,"Acari","brt"
"26",26,0.987,0.975,0.788,1,0.975,0.113022949708803,"Acari","brt"
"27",27,0.945,0.849,0.419,1,0.849,0.107939798179343,"Acari","brt"
"28",28,0.957,0.828,0.778,0.857,0.971,0.157204613195946,"Acari","brt"
"29",29,0.962,0.833,0.903,0.833,1,0.135542495758349,"Acari","brt"
"30",30,0.958,0.8,0.372,1,0.8,0.116639000897168,"Acari","brt"
"31",31,0.992,0.961,0.75,1,0.961,0.0760008246004837,"Acari","fda"
"32",32,0.785,0.667,0.787,0.667,1,0.523042969795259,"Acari","fda"
"33",33,0.847,0.692,0.789,0.692,1,0.268688674689236,"Acari","fda"
"34",34,0.757,0.5,0.655,0.5,1,0.988090337913821,"Acari","fda"
"35",35,0.864,0.654,0.654,0.667,0.987,0.00478579573554329,"Acari","fda"
"36",36,0.934,0.848,0.35,1,0.848,0.0452903152434288,"Acari","fda"
"37",37,0.819,0.671,0.207,1,0.671,0.0707470062408373,"Acari","fda"
"38",38,0.799,0.652,0.257,1,0.652,0.054592980892552,"Acari","fda"
"39",39,0.873,0.62,0.288,0.833,0.787,0.0124037617754545,"Acari","fda"
"40",40,0.882,0.68,0.239,1,0.68,0.0478843902585735,"Acari","fda"
"41",41,0.997,0.987,0.903,1,0.987,0.302945494651794,"Acari","rbf"
"42",42,0.873,0.625,0.581,0.667,0.958,0.13715073466301,"Acari","rbf"
"43",43,0.863,0.599,0.564,0.692,0.906,0.309808880090714,"Acari","rbf"
"44",44,0.803,0.617,0.299,0.75,0.867,0.123610444366932,"Acari","rbf"
"45",45,0.829,0.667,0.794,0.667,1,0.284290045499802,"Acari","rbf"
"46",46,0.883,0.722,0.2,1,0.722,0.113063246011734,"Acari","rbf"
"47",47,0.847,0.753,0.281,1,0.753,0.13193191587925,"Acari","rbf"
"48",48,0.739,0.495,0.195,0.857,0.638,0.13823202252388,"Acari","rbf"
"49",49,0.771,0.48,0.12,1,0.48,0.100001603364944,"Acari","rbf"
"50",50,0.842,0.573,0.166,1,0.573,0.0998632311820984,"Acari","rbf"
