"","Malenka","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2856,0.22153896026835,0.34966103973165,"DS_Tim",0.10732,0.0560132514263474,0.158626748573653
"DS_Mag_50","DS_Mag_50",0.16682,0.120701180216749,0.212938819783251,"DS_Mag_50",0.04124,0.0257108802953934,0.0567691197046066
"DS_Mag_90","DS_Mag_90",0.19964,0.138764085285722,0.260515914714278,"DS_Mag_90",0.06588,0.0416054969319658,0.0901545030680342
"SP_ROC","SP_ROC",0.10278,0.0250850075892918,0.180474992410708,"SP_ROC",0.04072,0.0170450781374046,0.0643949218625954
"SP_Dur","SP_Dur",0.2679,0.119706383570344,0.416093616429656,"SP_Dur",0.05576,0.0108411678825017,0.100678832117498
"SP_Mag","SP_Mag",0.23458,0.174092616908978,0.295067383091022,"SP_Mag",0.07816,0.0661160830789979,0.0902039169210021
"SP_Tim","SP_Tim",0.25904,0.140738307441102,0.377341692558898,"SP_Tim",0.10476,0.0249140406733065,0.184605959326694
"Wet_BFL_Dur","Wet_BFL_Dur",0.26372,0.181161925720739,0.346278074279261,"Wet_BFL_Dur",0.03556,0.00923724743116708,0.0618827525688329
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.00564,0.00266496952956781,0.00861503047043219,"Wet_BFL_Mag_10",0.00256,0.000515578125728449,0.00460442187427155
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.08012,0.0567113968229627,0.103528603177037,"Wet_BFL_Mag_50",0.02188,0.0163551114762377,0.0274048885237623
"Wet_Tim","Wet_Tim",0.45548,0.3338540668784,0.5771059331216,"Wet_Tim",0.18952,0.0921537917488824,0.286886208251118
"DS_Dur_WS","DS_Dur_WS",0.21804,0.0856168966803753,0.350463103319625,"DS_Dur_WS",0.03856,0.0227510781265768,0.0543689218734232
"Q99","Q99",0.20686,0.14158943785059,0.27213056214941,"Q99",0.04708,0.0232758221902121,0.0708841778097879
"FA_Dur","FA_Dur",0.29536,0.163212729508703,0.427507270491297,"FA_Dur",0.02324,0.012774077164435,0.033705922835565
"FA_Mag","FA_Mag",0.137,0.0756548864496935,0.198345113550307,"FA_Mag",0.04668,0.0178744507221265,0.0754855492778735
"FA_Tim","FA_Tim",0.32894,0.18466143829626,0.47321856170374,"FA_Tim",0.15272,0.062147993876695,0.243292006123305
