"","Dytiscidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2748,0.194176221336382,0.355423778663618,"DS_Tim",0.052,0.0254413370316451,0.0785586629683549
"DS_Mag_50","DS_Mag_50",0.3999,0.333528455434576,0.466271544565424,"DS_Mag_50",0.0689,0.0517711063209947,0.0860288936790053
"DS_Mag_90","DS_Mag_90",0.46455,0.338570612473045,0.590529387526955,"DS_Mag_90",0.07565,0.0593744500451342,0.0919255499548658
"SP_ROC","SP_ROC",0.20045,0.0208163720225711,0.380083627977429,"SP_ROC",0.1157,0.0101799666729898,0.22122003332701
"SP_Dur","SP_Dur",0.119575,0.0598497501058667,0.179300249894133,"SP_Dur",0.02185,0.0105902662701702,0.0331097337298298
"SP_Mag","SP_Mag",0.396825,0.320266378284894,0.473383621715106,"SP_Mag",0.0681,0.04780721530527,0.08839278469473
"SP_Tim","SP_Tim",0.353125,0.238309259420075,0.467940740579925,"SP_Tim",0.0206,0.0125943336733703,0.0286056663266297
"Wet_BFL_Dur","Wet_BFL_Dur",0.64285,0.5573095981597,0.7283904018403,"Wet_BFL_Dur",0.18435,0.127876406988162,0.240823593011838
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.133,0.0890978411844398,0.17690215881556,"Wet_BFL_Mag_10",0.031,0.0159179729921119,0.0460820270078881
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.165375,0.113249894504503,0.217500105495497,"Wet_BFL_Mag_50",0.0322,0.0263407254146382,0.0380592745853618
"Wet_Tim","Wet_Tim",0.496,0.457608195119271,0.534391804880729,"Wet_Tim",0.1004,0.039277166143358,0.161522833856642
"DS_Dur_WS","DS_Dur_WS",0.4095,0.209777827290008,0.609222172709992,"DS_Dur_WS",0.0396,0.0148800301510432,0.0643199698489568
"Q99","Q99",0.4598,0.417547658660535,0.502052341339465,"Q99",0.1447,0.123144677780186,0.166255322219814
"FA_Dur","FA_Dur",0.157725,0.0839286424956037,0.231521357504396,"FA_Dur",0.0426,0.017264267394317,0.067935732605683
"FA_Mag","FA_Mag",0.29735,0.180891135340985,0.413808864659015,"FA_Mag",0.11055,0.0413676278256761,0.179732372174324
"FA_Tim","FA_Tim",0.130225,0.0989533915627929,0.161496608437207,"FA_Tim",0.0213,0.00876072224302106,0.0338392777569789
