"","Culicoides","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.40978,0.32501170368764,0.49454829631236,"DS_Tim",0.14024,0.0788627948111027,0.201617205188897
"DS_Mag_50","DS_Mag_50",0.2672,0.164668076644393,0.369731923355607,"DS_Mag_50",0.08872,0.0374278073465367,0.140012192653463
"DS_Mag_90","DS_Mag_90",0.34202,0.274878266062009,0.409161733937991,"DS_Mag_90",0.1258,0.0721237708664254,0.179476229133575
"SP_ROC","SP_ROC",0.35596,0.289839963934523,0.422080036065477,"SP_ROC",0.14492,0.103918411503943,0.185921588496057
"SP_Dur","SP_Dur",0.62948,0.510021218808746,0.748938781191254,"SP_Dur",0.19632,0.155770577054661,0.236869422945339
"SP_Mag","SP_Mag",0.33578,0.238066754706949,0.433493245293051,"SP_Mag",0.07392,0.0423949369041076,0.105445063095892
"SP_Tim","SP_Tim",0.48034,0.338726080901982,0.621953919098018,"SP_Tim",0.21532,0.0984429180668853,0.332197081933115
"Wet_BFL_Dur","Wet_BFL_Dur",0.57792,0.48264096849936,0.67319903150064,"Wet_BFL_Dur",0.22416,0.108528359369937,0.339791640630063
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.20564,0.133981050703349,0.277298949296651,"Wet_BFL_Mag_10",0.0822,0.0329861894789684,0.131413810521032
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.16968,0.13031595742686,0.20904404257314,"Wet_BFL_Mag_50",0.03736,0.0199571479693701,0.0547628520306299
"Wet_Tim","Wet_Tim",0.32416,0.24603267991733,0.40228732008267,"Wet_Tim",0.12612,0.0375099628981005,0.214730037101899
"DS_Dur_WS","DS_Dur_WS",0.33096,0.227625002616248,0.434294997383752,"DS_Dur_WS",0.11396,0.0572712818384469,0.170648718161553
"Q99","Q99",0.44914,0.34836781821703,0.54991218178297,"Q99",0.24608,0.140748721942625,0.351411278057375
"FA_Dur","FA_Dur",0.11896,0.0531720427030904,0.18474795729691,"FA_Dur",0.03192,0.0126878152255133,0.0511521847744868
"FA_Mag","FA_Mag",0.23536,0.189745018598053,0.280974981401947,"FA_Mag",0.04748,0.0338409840091009,0.0611190159908991
"FA_Tim","FA_Tim",0.48218,0.405118347904421,0.559241652095579,"FA_Tim",0.18324,0.0865834937585679,0.279896506241432
