"","Caenis","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.170525,0.106676647782291,0.234373352217709,"DS_Tim",0.04205,0.0238006956936253,0.0602993043063747
"DS_Mag_50","DS_Mag_50",0.1847,0.120480681504706,0.248919318495294,"DS_Mag_50",0.02945,0.0220926536713296,0.0368073463286704
"DS_Mag_90","DS_Mag_90",0.268425,0.182501124783329,0.354348875216671,"DS_Mag_90",0.02755,0.0235955451703174,0.0315044548296826
"SP_ROC","SP_ROC",0.13535,0.0968828361542818,0.173817163845718,"SP_ROC",0.0132,0.00701227451589304,0.019387725484107
"SP_Dur","SP_Dur",0.30245,0.184202434233653,0.420697565766347,"SP_Dur",0.05835,0.0314495950278315,0.0852504049721685
"SP_Mag","SP_Mag",0.2035,0.137473001517056,0.269526998482944,"SP_Mag",0.04995,0.0375290074068133,0.0623709925931867
"SP_Tim","SP_Tim",0.2791,0.172405443228501,0.385794556771499,"SP_Tim",0.0727,0.0419027820953472,0.103497217904653
"Wet_BFL_Dur","Wet_BFL_Dur",0.774675,0.663262408110289,0.886087591889711,"Wet_BFL_Dur",0.31005,0.2358640053941,0.3842359946059
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.128075,0.0780631861465047,0.178086813853495,"Wet_BFL_Mag_10",0.018,0.00998074916217232,0.0260192508378277
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.184,0.118048997343988,0.249951002656012,"Wet_BFL_Mag_50",0.02725,0.0177743999838181,0.0367256000161819
"Wet_Tim","Wet_Tim",0.337225,0.285062367273913,0.389387632726087,"Wet_Tim",0.0146,0.0111555637132713,0.0180444362867287
"DS_Dur_WS","DS_Dur_WS",0.3869,0.322247116542776,0.451552883457224,"DS_Dur_WS",0.09165,0.0416759331953062,0.141624066804694
"Q99","Q99",0.252175,0.185255943499503,0.319094056500497,"Q99",0.0576,0.0347472909264569,0.0804527090735431
"FA_Dur","FA_Dur",0.50385,0.312662153139903,0.695037846860097,"FA_Dur",0.1061,0.0488567299909122,0.163343270009088
"FA_Mag","FA_Mag",0.228525,0.166865690460267,0.290184309539733,"FA_Mag",0.0421,0.0268290757756229,0.0573709242243771
"FA_Tim","FA_Tim",0.2874,0.193002401877308,0.381797598122692,"FA_Tim",0.06785,0.0440792082658851,0.0916207917341149
