"","Sanfilippodytes","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.4288,0.294582720847873,0.563017279152127,"DS_Tim",0.0477333333333333,0.034570531149401,0.0608961355172657
"DS_Mag_50","DS_Mag_50",0.545733333333333,0.49889955132362,0.592567115343047,"DS_Mag_50",0.202466666666667,0.145346087911429,0.259587245421905
"DS_Mag_90","DS_Mag_90",0.541233333333333,0.502689909246554,0.579776757420113,"DS_Mag_90",0.111733333333333,0.105561407755903,0.117905258910763
"SP_ROC","SP_ROC",0.187866666666667,0.105592378664075,0.270140954669258,"SP_ROC",0.0415333333333333,0.0157162691831761,0.0673503974834906
"SP_Dur","SP_Dur",0.595233333333333,0.430871743385033,0.759594923281634,"SP_Dur",0.104666666666667,0.0772236335009735,0.13210969983236
"SP_Mag","SP_Mag",0.414833333333333,0.273978920518777,0.555687746147889,"SP_Mag",0.119866666666667,0.0704792039121038,0.16925412942123
"SP_Tim","SP_Tim",0.459433333333333,0.326423383144134,0.592443283522533,"SP_Tim",0.0878,0.0488651290999957,0.126734870900004
"Wet_BFL_Dur","Wet_BFL_Dur",0.5339,0.343763810483117,0.724036189516883,"Wet_BFL_Dur",0.0627333333333333,0.0382996056330144,0.0871670610336523
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.211733333333333,0.101941735798124,0.321524930868542,"Wet_BFL_Mag_10",0.0308666666666667,0.0203590130116715,0.0413743203216618
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.209133333333333,0.166966667158103,0.251299999508564,"Wet_BFL_Mag_50",0.0562,0.0189642555063015,0.0934357444936985
"Wet_Tim","Wet_Tim",0.595533333333333,0.378490227851189,0.812576438815478,"Wet_Tim",0.2124,0.134507013178335,0.290292986821664
"DS_Dur_WS","DS_Dur_WS",0.367866666666667,0.262706030032357,0.473027303300976,"DS_Dur_WS",0.104,0.0366972558360359,0.171302744163964
"Q99","Q99",0.57,0.521065998446888,0.618934001553112,"Q99",0.163933333333333,0.106713556670598,0.221153109996069
"FA_Dur","FA_Dur",0.201,0.0940967324540545,0.307903267545945,"FA_Dur",0.0782,0.029175604073074,0.127224395926926
"FA_Mag","FA_Mag",0.198033333333333,0.0987831791554514,0.297283487511215,"FA_Mag",0.0558666666666667,0.0331929877121314,0.0785403456212019
"FA_Tim","FA_Tim",0.5349,0.480837498143353,0.588962501856647,"FA_Tim",0.144533333333333,0.122952332954914,0.166114333711753
