"","Simulium","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.26018,0.189650364415375,0.330709635584625,"DS_Tim",0.15072,0.0772542557160141,0.224185744283986
"DS_Mag_50","DS_Mag_50",0.2206,0.171061957229822,0.270138042770178,"DS_Mag_50",0.13528,0.0859634729406054,0.184596527059395
"DS_Mag_90","DS_Mag_90",0.2912,0.233153641600011,0.349246358399989,"DS_Mag_90",0.12268,0.0897418224062108,0.155618177593789
"SP_ROC","SP_ROC",0.09906,0.0709054041708995,0.1272145958291,"SP_ROC",0.04816,0.0360302679831746,0.0602897320168254
"SP_Dur","SP_Dur",0.20006,0.135704719961762,0.264415280038238,"SP_Dur",0.08216,0.0417795759705275,0.122540424029472
"SP_Mag","SP_Mag",0.29944,0.250648330272474,0.348231669727526,"SP_Mag",0.20024,0.144259975787787,0.256220024212213
"SP_Tim","SP_Tim",0.27758,0.121314227605019,0.433845772394981,"SP_Tim",0.18636,0.0751696301436136,0.297550369856386
"Wet_BFL_Dur","Wet_BFL_Dur",0.37368,0.255536907930679,0.491823092069321,"Wet_BFL_Dur",0.23148,0.0859491321911396,0.37701086780886
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.10372,0.0459871611195154,0.161452838880485,"Wet_BFL_Mag_10",0.05472,0.0294825168212042,0.0799574831787958
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2678,0.180308952898025,0.355291047101975,"Wet_BFL_Mag_50",0.2198,0.12430471977108,0.31529528022892
"Wet_Tim","Wet_Tim",0.38434,0.282765058824531,0.485914941175469,"Wet_Tim",0.25024,0.112674973584126,0.387805026415874
"DS_Dur_WS","DS_Dur_WS",0.28538,0.18516460511129,0.38559539488871,"DS_Dur_WS",0.14736,0.0877187506938361,0.207001249306164
"Q99","Q99",0.37562,0.272287896589685,0.478952103410315,"Q99",0.238,0.144696897329188,0.331303102670812
"FA_Dur","FA_Dur",0.1149,0.0255777576692121,0.204222242330788,"FA_Dur",0.01836,0.0114684326311063,0.0252515673688937
"FA_Mag","FA_Mag",0.21062,0.129273687805162,0.291966312194838,"FA_Mag",0.15508,0.0630282969130934,0.247131703086907
"FA_Tim","FA_Tim",0.38404,0.277906494299397,0.490173505700603,"FA_Tim",0.14888,0.095582837174949,0.202177162825051
