"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.841,0.682,0.68,0.95,0.732,1,"Hydropsychidae","glm"
"2",2,0.872,0.744,0.713,1,0.744,1,"Hydropsychidae","glm"
"3",3,0.903,0.805,0.776,0.923,0.882,1,"Hydropsychidae","glm"
"4",4,0.926,0.853,0.862,1,0.853,1,"Hydropsychidae","glm"
"5",5,0.854,0.707,0.699,1,0.707,1,"Hydropsychidae","glm"
"6",6,0.809,0.618,0.654,1,0.618,1,"Hydropsychidae","glm"
"7",7,0.817,0.634,0.631,0.634,1,1,"Hydropsychidae","glm"
"8",8,0.641,0.281,0.32,0.281,1,1,"Hydropsychidae","glm"
"9",9,0.875,0.751,0.765,0.957,0.794,1,"Hydropsychidae","glm"
"10",10,0.967,0.872,0.842,1,0.872,0.36732797041689,"Hydropsychidae","glm"
"11",11,0.957,0.777,0.778,0.85,0.927,0.714285714285714,"Hydropsychidae","tree"
"12",12,0.971,0.86,0.863,0.906,0.953,0.6,"Hydropsychidae","tree"
"13",13,0.955,0.727,0.676,0.923,0.804,0.4,"Hydropsychidae","tree"
"14",14,0.978,0.887,0.891,0.975,0.912,0.727272727272727,"Hydropsychidae","tree"
"15",15,0.986,0.927,0.924,1,0.927,0.666666666666667,"Hydropsychidae","tree"
"16",16,0.974,0.825,0.804,0.854,0.971,0.8,"Hydropsychidae","tree"
"17",17,0.966,0.876,0.876,0.951,0.925,0.8,"Hydropsychidae","tree"
"18",18,0.959,0.823,0.84,0.844,0.979,0.95,"Hydropsychidae","tree"
"19",19,0.958,0.774,0.771,0.891,0.882,0.666666666666667,"Hydropsychidae","tree"
"20",20,0.963,0.845,0.861,0.867,0.979,0.888888888888889,"Hydropsychidae","tree"
"21",21,0.955,0.827,0.827,0.925,0.902,0.583128625153115,"Hydropsychidae","brt"
"22",22,0.976,0.876,0.865,0.969,0.907,0.525532529261434,"Hydropsychidae","brt"
"23",23,0.94,0.765,0.706,0.962,0.804,0.274125757308307,"Hydropsychidae","brt"
"24",24,0.992,0.921,0.919,0.95,0.971,0.742201660005348,"Hydropsychidae","brt"
"25",25,0.979,0.846,0.848,0.895,0.951,0.620953916837349,"Hydropsychidae","brt"
"26",26,0.959,0.808,0.801,0.896,0.912,0.652855957531247,"Hydropsychidae","brt"
"27",27,0.985,0.877,0.877,0.927,0.95,0.579066184399466,"Hydropsychidae","brt"
"28",28,0.965,0.823,0.84,0.844,0.979,0.568374261071469,"Hydropsychidae","brt"
"29",29,0.978,0.854,0.848,0.913,0.941,0.669061971242381,"Hydropsychidae","brt"
"30",30,0.972,0.903,0.892,0.967,0.936,0.522503895742544,"Hydropsychidae","brt"
"31",31,0.918,0.707,0.705,1,0.707,0.349870099864547,"Hydropsychidae","fda"
"32",32,0.921,0.814,0.789,1,0.814,0.483861765289065,"Hydropsychidae","fda"
"33",33,0.954,0.824,0.759,1,0.824,0.72940357661234,"Hydropsychidae","fda"
"34",34,0.962,0.887,0.891,0.975,0.912,0.981564005306677,"Hydropsychidae","fda"
"35",35,0.955,0.82,0.822,0.868,0.951,0.904067819371072,"Hydropsychidae","fda"
"36",36,0.938,0.79,0.797,0.938,0.853,0.875842095391244,"Hydropsychidae","fda"
"37",37,0.942,0.778,0.778,0.878,0.9,0.787861384108858,"Hydropsychidae","fda"
"38",38,0.908,0.792,0.752,1,0.792,0.560145698909842,"Hydropsychidae","fda"
"39",39,0.967,0.839,0.845,0.957,0.882,0.95013060664429,"Hydropsychidae","fda"
"40",40,0.957,0.87,0.864,0.933,0.936,0.760540571146056,"Hydropsychidae","fda"
"41",41,0.879,0.755,0.754,0.975,0.78,0.580920100212097,"Hydropsychidae","rbf"
"42",42,0.929,0.783,0.761,0.969,0.814,0.506537199020386,"Hydropsychidae","rbf"
"43",43,0.946,0.804,0.735,1,0.804,0.537980616092682,"Hydropsychidae","rbf"
"44",44,0.955,0.882,0.89,1,0.882,0.715583324432373,"Hydropsychidae","rbf"
"45",45,0.957,0.78,0.774,1,0.78,0.312708914279938,"Hydropsychidae","rbf"
"46",46,0.949,0.79,0.797,0.938,0.853,0.567894995212555,"Hydropsychidae","rbf"
"47",47,0.92,0.726,0.728,0.976,0.75,0.543516516685486,"Hydropsychidae","rbf"
"48",48,0.927,0.812,0.776,1,0.812,0.535107135772705,"Hydropsychidae","rbf"
"49",49,0.938,0.803,0.797,0.891,0.912,0.653906226158142,"Hydropsychidae","rbf"
"50",50,0.962,0.87,0.864,0.933,0.936,0.604507982730865,"Hydropsychidae","rbf"
