"","Tvetenia bavarica group","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.160625,0.119680046144244,0.201569953855756,"DS_Tim",0.0084,0.0069508365631625,0.0098491634368375
"DS_Mag_50","DS_Mag_50",0.249825,0.15713435902917,0.34251564097083,"DS_Mag_50",0.0107,0.00602843823402352,0.0153715617659765
"DS_Mag_90","DS_Mag_90",0.2192,0.125782368502158,0.312617631497842,"DS_Mag_90",0.01115,0.00924907785535546,0.0130509221446445
"SP_ROC","SP_ROC",0.2218,0.151424092233208,0.292175907766792,"SP_ROC",0.0327,0.0229769050880562,0.0424230949119438
"SP_Dur","SP_Dur",0.347375,0.266822751836153,0.427927248163847,"SP_Dur",0.00715,0.00474367257700315,0.00955632742299685
"SP_Mag","SP_Mag",0.415075,0.311773165019928,0.518376834980072,"SP_Mag",0.09125,0.0686515066947669,0.113848493305233
"SP_Tim","SP_Tim",0.4592,0.382283327906103,0.536116672093897,"SP_Tim",0.02715,0.0169265205694604,0.0373734794305396
"Wet_BFL_Dur","Wet_BFL_Dur",0.614725,0.553919805417218,0.675530194582782,"Wet_BFL_Dur",0.11715,0.0945168262720404,0.13978317372796
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.101425,0.0608845076548973,0.141965492345103,"Wet_BFL_Mag_10",0.00665,0.00623134381647944,0.00706865618352056
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.13885,0.10226114954434,0.17543885045566,"Wet_BFL_Mag_50",0.00735,0.00397658338376852,0.0107234166162315
"Wet_Tim","Wet_Tim",0.264975,0.192390783527569,0.337559216472431,"Wet_Tim",0.0079,0.00390116767043178,0.0118988323295682
"DS_Dur_WS","DS_Dur_WS",0.279775,0.170050425899285,0.389499574100715,"DS_Dur_WS",0.00395,0.00139400293427398,0.00650599706572601
"Q99","Q99",0.34325,0.241777396306524,0.444722603693476,"Q99",0.0105,0.00794886090801253,0.0130511390919875
"FA_Dur","FA_Dur",0.6796,0.499883162853338,0.859316837146662,"FA_Dur",0.0245,0.0131832274919039,0.0358167725080961
"FA_Mag","FA_Mag",0.315225,0.24313347766265,0.38731652233735,"FA_Mag",0.03485,0.0245647066319591,0.0451352933680409
"FA_Tim","FA_Tim",0.48515,0.364515672070509,0.605784327929491,"FA_Tim",0.04545,0.020749285172287,0.070150714827713
