"","Rheotanytarsus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.23792,0.158530817568135,0.317309182431865,"DS_Tim",0.1408,0.0781167224692263,0.203483277530774
"DS_Mag_50","DS_Mag_50",0.31676,0.281723687646957,0.351796312353043,"DS_Mag_50",0.2082,0.149406533696337,0.266993466303663
"DS_Mag_90","DS_Mag_90",0.2929,0.199525829623498,0.386274170376502,"DS_Mag_90",0.14956,0.113411852788836,0.185708147211164
"SP_ROC","SP_ROC",0.17666,0.133355356296351,0.219964643703649,"SP_ROC",0.11208,0.0702055735896001,0.1539544264104
"SP_Dur","SP_Dur",0.30702,0.16662916629922,0.44741083370078,"SP_Dur",0.19724,0.0932852233286031,0.301194776671397
"SP_Mag","SP_Mag",0.16836,0.136869396023576,0.199850603976424,"SP_Mag",0.08308,0.0413799578273594,0.124780042172641
"SP_Tim","SP_Tim",0.25524,0.219153693922763,0.291326306077237,"SP_Tim",0.16928,0.112238123670412,0.226321876329588
"Wet_BFL_Dur","Wet_BFL_Dur",0.33634,0.219289329631138,0.453390670368862,"Wet_BFL_Dur",0.17132,0.0968919000564975,0.245748099943502
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.20104,0.153412660395525,0.248667339604475,"Wet_BFL_Mag_10",0.13016,0.106742162294524,0.153577837705476
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.13668,0.103512693029129,0.169847306970871,"Wet_BFL_Mag_50",0.07996,0.0513846888590868,0.108535311140913
"Wet_Tim","Wet_Tim",0.46044,0.336381204290869,0.584498795709131,"Wet_Tim",0.19808,0.0972687284913041,0.298891271508696
"DS_Dur_WS","DS_Dur_WS",0.17452,0.0716658520491273,0.277374147950873,"DS_Dur_WS",0.10756,0.0194139873006158,0.195706012699384
"Q99","Q99",0.37318,0.265080156141648,0.481279843858352,"Q99",0.24288,0.155173049550221,0.330586950449779
"FA_Dur","FA_Dur",0.0509,0.0256003125216931,0.0761996874783069,"FA_Dur",0.03112,0.0194846716763127,0.0427553283236873
"FA_Mag","FA_Mag",0.23256,0.147762235991743,0.317357764008257,"FA_Mag",0.17656,0.0798856102227689,0.273234389777231
"FA_Tim","FA_Tim",0.40394,0.309966012020347,0.497913987979653,"FA_Tim",0.22728,0.131409434458745,0.323150565541255
