"","Protzia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.204833333333333,0.153734312703449,0.255932353963218,"DS_Tim",0.0113333333333333,0.00674474211888272,0.0159219245477839
"DS_Mag_50","DS_Mag_50",0.285066666666667,0.243618043886973,0.32651528944636,"DS_Mag_50",0.0254,0.0214763267210431,0.0293236732789568
"DS_Mag_90","DS_Mag_90",0.3274,0.17644077327967,0.47835922672033,"DS_Mag_90",0.0322666666666667,0.00978098719431508,0.0547523461390182
"SP_ROC","SP_ROC",0.1932,0.105049163424276,0.281350836575724,"SP_ROC",0.0106,0.00160372810548725,0.0195962718945127
"SP_Dur","SP_Dur",0.332266666666667,0.119567236988698,0.544966096344636,"SP_Dur",0.0104,0.00587923546288905,0.014920764537111
"SP_Mag","SP_Mag",0.5244,0.482969637945101,0.565830362054899,"SP_Mag",0.047,0.0317324303178273,0.0622675696821727
"SP_Tim","SP_Tim",0.654466666666667,0.616746330025362,0.692187003307971,"SP_Tim",0.0488,0.0397824023154723,0.0578175976845277
"Wet_BFL_Dur","Wet_BFL_Dur",0.751233333333333,0.574236866158609,0.928229800508058,"Wet_BFL_Dur",0.179933333333333,0.0830665752306006,0.276800091436066
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.322133333333333,0.177774058084622,0.466492608582045,"Wet_BFL_Mag_10",0.0327333333333333,0.00495239308046692,0.0605142735861997
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.333166666666667,0.236171103750968,0.430162229582366,"Wet_BFL_Mag_50",0.0127333333333333,0.00970906328366295,0.0157576033830037
"Wet_Tim","Wet_Tim",0.358366666666667,0.201043039368243,0.51569029396509,"Wet_Tim",0.0481333333333333,0.00728233768655218,0.0889843289801145
"DS_Dur_WS","DS_Dur_WS",0.3985,0.220477335350243,0.576522664649757,"DS_Dur_WS",0.0256666666666667,0.00967363914423261,0.0416596941891007
"Q99","Q99",0.562033333333333,0.501385062539078,0.622681604127589,"Q99",0.0401333333333333,0.0243020609481669,0.0559646057184998
"FA_Dur","FA_Dur",0.339133333333333,0.163237990722071,0.515028675944596,"FA_Dur",0.00973333333333333,0.00205903015106764,0.017407636515599
"FA_Mag","FA_Mag",0.227466666666667,0.077432808733421,0.377500524599912,"FA_Mag",0.0178666666666667,0.00624743135046219,0.0294859019828711
"FA_Tim","FA_Tim",0.205133333333333,0.109984564385263,0.300282102281404,"FA_Tim",0.0297333333333333,0.00449850776759317,0.0549681588990735
