"","Stictotarsus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.05376,0.0215373563421621,0.0859826436578379,"DS_Tim",0.0104,0.00175820018746095,0.0190417998125391
"DS_Mag_50","DS_Mag_50",0.26244,0.149984655185714,0.374895344814286,"DS_Mag_50",0.08584,0.0343837750432467,0.137296224956753
"DS_Mag_90","DS_Mag_90",0.30676,0.193418346896209,0.420101653103791,"DS_Mag_90",0.13504,0.0607548234921663,0.209325176507834
"SP_ROC","SP_ROC",0.4403,0.268615023256256,0.611984976743744,"SP_ROC",0.26616,0.130146054550278,0.402173945449722
"SP_Dur","SP_Dur",0.30062,0.174676847904699,0.4265631520953,"SP_Dur",0.08072,0.0464538547075981,0.114986145292402
"SP_Mag","SP_Mag",0.21776,0.119511684918773,0.316008315081227,"SP_Mag",0.07524,0.0311249541222045,0.119355045877795
"SP_Tim","SP_Tim",0.15434,0.0651078544760914,0.243572145523909,"SP_Tim",0.03536,0.00977023144301614,0.0609497685569839
"Wet_BFL_Dur","Wet_BFL_Dur",0.36076,0.181903034080861,0.539616965919139,"Wet_BFL_Dur",0.10096,0.0298033816514585,0.172116618348542
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.06962,0.0203915506419306,0.118848449358069,"Wet_BFL_Mag_10",0.04952,0.00416719242207821,0.0948728075779218
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.20282,0.151902782237243,0.253737217762757,"Wet_BFL_Mag_50",0.04656,0.0158338038345128,0.0772861961654872
"Wet_Tim","Wet_Tim",0.60646,0.580563080466974,0.632356919533026,"Wet_Tim",0.26528,0.189026093574165,0.341533906425835
"DS_Dur_WS","DS_Dur_WS",0.11752,0.0675262458631081,0.167513754136892,"DS_Dur_WS",0.01164,0.00479948768000525,0.0184805123199948
"Q99","Q99",0.19388,0.105281804752015,0.282478195247985,"Q99",0.05356,0.0218337657009219,0.0852862342990781
"FA_Dur","FA_Dur",0.33788,0.177707463928113,0.498052536071887,"FA_Dur",0.10596,0.0430624196745217,0.168857580325478
"FA_Mag","FA_Mag",0.41318,0.349656376565879,0.476703623434121,"FA_Mag",0.13004,0.0818251254196384,0.178254874580362
"FA_Tim","FA_Tim",0.1187,0.0654929940139459,0.171907005986054,"FA_Tim",0.03704,0.0119766652498116,0.0621033347501884
