"","Hydropsychidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.16228,0.130305755947951,0.194254244052049,"DS_Tim",0.08556,0.0627327937145169,0.108387206285483
"DS_Mag_50","DS_Mag_50",0.205,0.111905415947006,0.298094584052994,"DS_Mag_50",0.16412,0.0898304214495734,0.238409578550427
"DS_Mag_90","DS_Mag_90",0.16628,0.101517018647224,0.231042981352776,"DS_Mag_90",0.1026,0.0579210809665229,0.147278919033477
"SP_ROC","SP_ROC",0.02594,0.0125965793253754,0.0392834206746246,"SP_ROC",0.01704,0.000272202863822568,0.0338077971361774
"SP_Dur","SP_Dur",0.13664,0.0865990561759672,0.186680943824033,"SP_Dur",0.08952,0.0514006075441908,0.127639392455809
"SP_Mag","SP_Mag",0.15724,0.0857115159268701,0.22876848407313,"SP_Mag",0.10824,0.0525536008095334,0.163926399190467
"SP_Tim","SP_Tim",0.04918,0.0335039281482892,0.0648560718517108,"SP_Tim",0.01448,0.00256713354393662,0.0263928664560634
"Wet_BFL_Dur","Wet_BFL_Dur",0.39724,0.29732104232279,0.49715895767721,"Wet_BFL_Dur",0.29624,0.21280057045497,0.37967942954503
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.08816,0.0651330079623934,0.111186992037607,"Wet_BFL_Mag_10",0.057,0.0403104820321257,0.0736895179678743
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.06598,0.0523847559529076,0.0795752440470923,"Wet_BFL_Mag_50",0.03256,0.0231480706122496,0.0419719293877504
"Wet_Tim","Wet_Tim",0.33106,0.268167420558543,0.393952579441457,"Wet_Tim",0.23536,0.189225496851055,0.281494503148945
"DS_Dur_WS","DS_Dur_WS",0.05322,0.0229111847691138,0.0835288152308862,"DS_Dur_WS",0.01888,0.00326404517168418,0.0344959548283158
"Q99","Q99",0.08932,0.0549832451926511,0.123656754807349,"Q99",0.05404,0.0312620718501441,0.076817928149856
"FA_Dur","FA_Dur",0.0586,0.01836583772464,0.09883416227536,"FA_Dur",0.02912,0.0048113968068916,0.0534286031931084
"FA_Mag","FA_Mag",0.1248,0.0765844232742156,0.173015576725784,"FA_Mag",0.08616,0.0481109147179594,0.124209085282041
"FA_Tim","FA_Tim",0.23338,0.142169198790933,0.324590801209067,"FA_Tim",0.14396,0.0861983560587131,0.201721643941287
