"","Heleniella","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.4641,0.270136664261,0.658063335739,"DS_Tim",0.256733333333333,0.0778144959870848,0.435652170679582
"DS_Mag_50","DS_Mag_50",0.363566666666667,0.207825037580756,0.519308295752577,"DS_Mag_50",0.1188,0.0267703293931788,0.210829670606821
"DS_Mag_90","DS_Mag_90",0.600566666666667,0.546730396919095,0.654402936414239,"DS_Mag_90",0.109466666666667,0.0704876260764555,0.148445707256878
"SP_ROC","SP_ROC",0.3201,0.192165166287676,0.448034833712324,"SP_ROC",0.0374,0.0179403978457935,0.0568596021542065
"SP_Dur","SP_Dur",0.573766666666667,0.452633410645319,0.694899922688014,"SP_Dur",0.214933333333333,0.119566878511245,0.310299788155421
"SP_Mag","SP_Mag",0.6759,0.624472381534821,0.727327618465179,"SP_Mag",0.234533333333333,0.0909028959973239,0.378163770669343
"SP_Tim","SP_Tim",0.654933333333333,0.610465183154432,0.699401483512235,"SP_Tim",0.199266666666667,0.152618529411967,0.245914803921367
"Wet_BFL_Dur","Wet_BFL_Dur",0.933066666666667,0.883017386089087,0.983115947244247,"Wet_BFL_Dur",0.483933333333333,0.471324296203824,0.496542370462842
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.6853,0.675254641469813,0.695345358530187,"Wet_BFL_Mag_10",0.218,0.185709483311659,0.250290516688341
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.382366666666667,0.228114306067766,0.536619027265567,"Wet_BFL_Mag_50",0.0586666666666667,0.0271051381654465,0.0902281951678868
"Wet_Tim","Wet_Tim",0.4982,0.389296598822626,0.607103401177374,"Wet_Tim",0.1102,0.0415502480412347,0.178849751958765
"DS_Dur_WS","DS_Dur_WS",0.644366666666667,0.553499785481422,0.735233547851911,"DS_Dur_WS",0.248133333333333,0.117616414808058,0.378650251858609
"Q99","Q99",0.689366666666667,0.683044653827916,0.695688679505418,"Q99",0.1552,0.106903993208548,0.203496006791452
"FA_Dur","FA_Dur",0.3265,0.21712212141388,0.43587787858612,"FA_Dur",0.0381333333333333,0.0161253318490246,0.060141334817642
"FA_Mag","FA_Mag",0.360933333333333,0.217018053246981,0.504848613419686,"FA_Mag",0.0942666666666667,0.0322066368460701,0.156326696487263
"FA_Tim","FA_Tim",0.635533333333333,0.490390136206036,0.78067653046063,"FA_Tim",0.219133333333333,0.122223456100239,0.316043210566427
