"","Probezzia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.375133333333333,0.291973038033633,0.458293628633033,"DS_Tim",0.0734,0.0440758845998724,0.102724115400128
"DS_Mag_50","DS_Mag_50",0.118966666666667,0.0542443375882618,0.183688995745072,"DS_Mag_50",0.0186666666666667,0.00639108271585873,0.0309422506174746
"DS_Mag_90","DS_Mag_90",0.333466666666667,0.237021193437835,0.429912139895499,"DS_Mag_90",0.035,0.029462349595722,0.040537650404278
"SP_ROC","SP_ROC",0.105133333333333,0.0464506351989315,0.163816031467735,"SP_ROC",0.0146,0.00739650001735268,0.0218034999826473
"SP_Dur","SP_Dur",0.627933333333333,0.542377700951045,0.713488965715622,"SP_Dur",0.1318,0.076657863552452,0.186942136447548
"SP_Mag","SP_Mag",0.2816,0.161266205440865,0.401933794559135,"SP_Mag",0.0766,0.0430320315181273,0.110167968481873
"SP_Tim","SP_Tim",0.4097,0.1993972802387,0.6200027197613,"SP_Tim",0.0612666666666667,0.0349536514587257,0.0875796818746076
"Wet_BFL_Dur","Wet_BFL_Dur",0.710666666666667,0.5286950589518,0.892638274381533,"Wet_BFL_Dur",0.217666666666667,0.173057573318636,0.262275760014698
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.187866666666667,0.10782464047209,0.267908692861244,"Wet_BFL_Mag_10",0.0239333333333333,0.00985392420747392,0.0380127424591927
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.3031,0.219490017647412,0.386709982352588,"Wet_BFL_Mag_50",0.0202666666666667,0.0123012900068135,0.0282320433265198
"Wet_Tim","Wet_Tim",0.290966666666667,0.167458666600544,0.414474666732789,"Wet_Tim",0.101266666666667,0.0564590847040866,0.146074248629247
"DS_Dur_WS","DS_Dur_WS",0.217733333333333,0.0329419873743482,0.402524679292318,"DS_Dur_WS",0.0306,0.00462963019131226,0.0565703698086878
"Q99","Q99",0.459166666666667,0.382360822160319,0.535972511173015,"Q99",0.0276666666666667,0.0171837200707265,0.0381496132626068
"FA_Dur","FA_Dur",0.185233333333333,0.0698692112791464,0.30059745538752,"FA_Dur",0.0498666666666667,0.0110848665881075,0.0886484667452258
"FA_Mag","FA_Mag",0.261766666666667,0.201568629411841,0.321964703921492,"FA_Mag",0.0274666666666667,0.0198362899175583,0.035097043415775
"FA_Tim","FA_Tim",0.285333333333333,0.208890045797191,0.361776620869476,"FA_Tim",0.0618,0.0167913194594643,0.106808680540536
