"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.591,0.182,0.277,0.182,1,1,"Dixa","glm"
"2",2,0.809,0.618,0.497,0.824,0.794,1,"Dixa","glm"
"3",3,0.577,0.154,0.2,0.2,0.954,1,"Dixa","glm"
"4",4,0.533,0.067,0.105,0.067,1,1,"Dixa","glm"
"5",5,0.486,-0.029,-0.043,0,0.971,1,"Dixa","glm"
"6",6,0.71,0.419,0.451,0.5,0.919,1,"Dixa","glm"
"7",7,0.535,0.07,0.091,0.133,0.937,1,"Dixa","glm"
"8",8,0.786,0.572,0.572,0.6,0.972,1,"Dixa","glm"
"9",9,0.643,0.286,0.386,0.3,0.986,1,"Dixa","glm"
"10",10,0.785,0.571,0.318,0.909,0.662,1,"Dixa","glm"
"11",11,0.961,0.774,0.746,0.818,0.956,0.6,"Dixa","tree"
"12",12,0.982,0.882,0.828,0.941,0.941,0.6,"Dixa","tree"
"13",13,0.95,0.795,0.66,0.933,0.862,0.4,"Dixa","tree"
"14",14,0.965,0.821,0.626,1,0.821,0.285714285714286,"Dixa","tree"
"15",15,0.981,0.886,0.66,1,0.886,0.25,"Dixa","tree"
"16",16,0.956,0.746,0.655,0.875,0.871,0.333333333333333,"Dixa","tree"
"17",17,0.954,0.822,0.713,0.933,0.889,0.5,"Dixa","tree"
"18",18,0.952,0.901,0.546,1,0.901,0.4,"Dixa","tree"
"19",19,0.95,0.875,0.631,1,0.875,0.4,"Dixa","tree"
"20",20,0.962,0.846,0.614,1,0.846,0.2,"Dixa","tree"
"21",21,0.952,0.836,0.725,0.909,0.926,0.218804876876604,"Dixa","brt"
"22",22,0.958,0.809,0.629,1,0.809,0.272921857559477,"Dixa","brt"
"23",23,0.927,0.733,0.561,0.933,0.8,0.182442991263714,"Dixa","brt"
"24",24,0.942,0.762,0.675,0.867,0.896,0.226611979749711,"Dixa","brt"
"25",25,0.934,0.771,0.458,1,0.771,0.159166169710795,"Dixa","brt"
"26",26,0.945,0.839,0.681,1,0.839,0.255320810606722,"Dixa","brt"
"27",27,0.945,0.838,0.744,0.933,0.905,0.247058668168959,"Dixa","brt"
"28",28,0.944,0.901,0.546,1,0.901,0.104219269199772,"Dixa","brt"
"29",29,0.925,0.75,0.423,1,0.75,0.133484203650882,"Dixa","brt"
"30",30,0.969,0.894,0.894,0.909,0.985,0.246906504708685,"Dixa","brt"
"31",31,0.735,0.468,0.222,0.909,0.559,0.126138545515087,"Dixa","fda"
"32",32,0.858,0.662,0.439,1,0.662,0.163557664348922,"Dixa","fda"
"33",33,0.843,0.61,0.403,0.933,0.677,0.172430089843523,"Dixa","fda"
"34",34,0.773,0.537,0.298,1,0.537,0.152348986943279,"Dixa","fda"
"35",35,0.83,0.586,0.261,1,0.586,0.108193902365764,"Dixa","fda"
"36",36,0.901,0.732,0.699,0.812,0.919,0.254685728286518,"Dixa","fda"
"37",37,0.774,0.429,0.224,1,0.429,0.160399704234881,"Dixa","fda"
"38",38,0.899,0.746,0.279,1,0.746,0.0155474902392082,"Dixa","fda"
"39",39,0.875,0.708,0.372,1,0.708,0.119979026191357,"Dixa","fda"
"40",40,0.887,0.74,0.537,0.909,0.831,0.0928386542675687,"Dixa","fda"
"41",41,0.698,0.456,0.189,1,0.456,0.191109120845795,"Dixa","rbf"
"42",42,0.912,0.721,0.601,0.882,0.838,0.362581312656403,"Dixa","rbf"
"43",43,0.859,0.605,0.437,0.867,0.738,0.293418854475021,"Dixa","rbf"
"44",44,0.827,0.552,0.311,1,0.552,0.204937949776649,"Dixa","rbf"
"45",45,0.83,0.629,0.297,1,0.629,0.193550109863281,"Dixa","rbf"
"46",46,0.876,0.605,0.542,0.75,0.855,0.299878180027008,"Dixa","rbf"
"47",47,0.862,0.603,0.369,1,0.603,0.262727409601212,"Dixa","rbf"
"48",48,0.859,0.687,0.416,0.8,0.887,0.128552198410034,"Dixa","rbf"
"49",49,0.904,0.708,0.372,1,0.708,0.194983810186386,"Dixa","rbf"
"50",50,0.878,0.65,0.605,0.727,0.923,0.279612094163895,"Dixa","rbf"
