"","Tanytarsini","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.11932,0.0636671900332068,0.174972809966793,"DS_Tim",0.0472,0.0201079181678484,0.0742920818321516
"DS_Mag_50","DS_Mag_50",0.16448,0.0917689579520414,0.237191042047959,"DS_Mag_50",0.06332,0.0298675596824387,0.0967724403175613
"DS_Mag_90","DS_Mag_90",0.36946,0.262986147952655,0.475933852047345,"DS_Mag_90",0.15768,0.0952100693037042,0.220149930696296
"SP_ROC","SP_ROC",0.15388,0.100379568163425,0.207380431836575,"SP_ROC",0.07164,0.0487691850429417,0.0945108149570583
"SP_Dur","SP_Dur",0.4769,0.380763236246481,0.573036763753519,"SP_Dur",0.09528,0.068460513479934,0.122099486520066
"SP_Mag","SP_Mag",0.30202,0.255928872060884,0.348111127939116,"SP_Mag",0.10132,0.0567517807041834,0.145888219295817
"SP_Tim","SP_Tim",0.40166,0.271177717002269,0.532142282997731,"SP_Tim",0.16712,0.0837009401443531,0.250539059855647
"Wet_BFL_Dur","Wet_BFL_Dur",0.49968,0.353309354099943,0.646050645900057,"Wet_BFL_Dur",0.19496,0.122680585151788,0.267239414848212
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1488,0.103415497435799,0.194184502564201,"Wet_BFL_Mag_10",0.03,0.0184582374829492,0.0415417625170509
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.14272,0.116278553912465,0.169161446087535,"Wet_BFL_Mag_50",0.04952,0.0374207499736554,0.0616192500263446
"Wet_Tim","Wet_Tim",0.31084,0.178880440852889,0.442799559147111,"Wet_Tim",0.09852,0.0257755235004059,0.171264476499594
"DS_Dur_WS","DS_Dur_WS",0.2138,0.125425671032251,0.302174328967749,"DS_Dur_WS",0.03728,0.0229604929833461,0.0515995070166539
"Q99","Q99",0.45614,0.285548283586805,0.626731716413195,"Q99",0.21032,0.10980718968609,0.31083281031391
"FA_Dur","FA_Dur",0.12298,0.0491371511945808,0.196822848805419,"FA_Dur",0.05832,0.0351333573969839,0.0815066426030161
"FA_Mag","FA_Mag",0.19166,0.0861857750547557,0.297134224945244,"FA_Mag",0.02596,0.0155545872354817,0.0363654127645183
"FA_Tim","FA_Tim",0.50276,0.38113411030829,0.62438588969171,"FA_Tim",0.14148,0.0664367727559642,0.216523227244036
