"","Tanytarsus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.31774,0.1920904435551,0.4433895564449,"DS_Tim",0.16396,0.105461535158604,0.222458464841396
"DS_Mag_50","DS_Mag_50",0.15456,0.108028822384341,0.201091177615659,"DS_Mag_50",0.09444,0.070191445098728,0.118688554901272
"DS_Mag_90","DS_Mag_90",0.25776,0.146104446066038,0.369415553933962,"DS_Mag_90",0.1734,0.0892358849033628,0.257564115096637
"SP_ROC","SP_ROC",0.0713,0.0422106061682269,0.100389393831773,"SP_ROC",0.05656,0.0368188492533996,0.0763011507466004
"SP_Dur","SP_Dur",0.22144,0.113925270135669,0.328954729864331,"SP_Dur",0.14164,0.0483765505313041,0.234903449468696
"SP_Mag","SP_Mag",0.34562,0.245563191412578,0.445676808587422,"SP_Mag",0.19096,0.112592916535066,0.269327083464934
"SP_Tim","SP_Tim",0.26824,0.186716563107288,0.349763436892712,"SP_Tim",0.14276,0.0689023079645728,0.216617692035427
"Wet_BFL_Dur","Wet_BFL_Dur",0.25316,0.173001970974206,0.333318029025794,"Wet_BFL_Dur",0.15208,0.102263475781624,0.201896524218376
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.2169,0.158412880768497,0.275387119231503,"Wet_BFL_Mag_10",0.10004,0.0706215980923504,0.12945840190765
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.11954,0.064617320970295,0.174462679029705,"Wet_BFL_Mag_50",0.07284,0.0280984973788318,0.117581502621168
"Wet_Tim","Wet_Tim",0.1792,0.0984837544263858,0.259916245573614,"Wet_Tim",0.12396,0.087925745147152,0.159994254852848
"DS_Dur_WS","DS_Dur_WS",0.17376,0.0945111788523009,0.253008821147699,"DS_Dur_WS",0.07024,0.0523481681541548,0.0881318318458452
"Q99","Q99",0.4101,0.357170926703748,0.463029073296252,"Q99",0.26404,0.241781979899371,0.286298020100629
"FA_Dur","FA_Dur",0.0904,0.0388618172371202,0.14193818276288,"FA_Dur",0.05248,0.0405480019611131,0.0644119980388869
"FA_Mag","FA_Mag",0.28632,0.200348069390644,0.372291930609356,"FA_Mag",0.19396,0.12161507511373,0.26630492488627
"FA_Tim","FA_Tim",0.16968,0.134432130047335,0.204927869952665,"FA_Tim",0.09696,0.069198362533885,0.124721637466115
