"","Microtendipes","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.18328,0.127832776947804,0.238727223052196,"DS_Tim",0.072,0.0419078556762733,0.102092144323727
"DS_Mag_50","DS_Mag_50",0.23004,0.177506873990786,0.282573126009214,"DS_Mag_50",0.07776,0.0617559068735526,0.0937640931264474
"DS_Mag_90","DS_Mag_90",0.18552,0.144344932341282,0.226695067658718,"DS_Mag_90",0.05084,0.0328651596168422,0.0688148403831578
"SP_ROC","SP_ROC",0.13732,0.0883341458919006,0.186305854108099,"SP_ROC",0.0288,0.0146067374434206,0.0429932625565794
"SP_Dur","SP_Dur",0.08928,0.0400628793843037,0.138497120615696,"SP_Dur",0.00336,0.00220169140553996,0.00451830859446004
"SP_Mag","SP_Mag",0.18308,0.122648363370665,0.243511636629335,"SP_Mag",0.05936,0.0271571642118276,0.0915628357881725
"SP_Tim","SP_Tim",0.22548,0.127002711566575,0.323957288433425,"SP_Tim",0.0502,0.0279627440092083,0.0724372559907917
"Wet_BFL_Dur","Wet_BFL_Dur",0.39468,0.293304036301991,0.496055963698009,"Wet_BFL_Dur",0.18128,0.0888819900365814,0.273678009963419
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.12794,0.0351810612458293,0.220698938754171,"Wet_BFL_Mag_10",0.0674,0.00657143868214538,0.128228561317855
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.05954,0.0442468338856861,0.0748331661143139,"Wet_BFL_Mag_50",0.0222,0.013190393571304,0.031209606428696
"Wet_Tim","Wet_Tim",0.23638,0.159154302429826,0.313605697570174,"Wet_Tim",0.03252,0.0194331282882425,0.0456068717117575
"DS_Dur_WS","DS_Dur_WS",0.21944,0.142561423492627,0.296318576507373,"DS_Dur_WS",0.0268,0.0143754318384903,0.0392245681615097
"Q99","Q99",0.23264,0.173170262231115,0.292109737768885,"Q99",0.11956,0.0760223267181169,0.163097673281883
"FA_Dur","FA_Dur",0.28738,0.173503507681787,0.401256492318213,"FA_Dur",0.0348,0.0206868090780292,0.0489131909219708
"FA_Mag","FA_Mag",0.25274,0.173174760210253,0.332305239789747,"FA_Mag",0.09892,0.069497746089057,0.128342253910943
"FA_Tim","FA_Tim",0.33028,0.20076540179308,0.45979459820692,"FA_Tim",0.15008,0.0712705532997471,0.228889446700253
