"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.793,0.585,0.479,0.672,0.913,1,"Cricotopus","glm"
"2",2,0.7,0.4,0.519,1,0.4,1,"Cricotopus","glm"
"3",3,0.585,0.169,0.202,0.919,0.25,1,"Cricotopus","glm"
"4",4,0.579,0.158,0.217,1,0.158,1,"Cricotopus","glm"
"5",5,0.568,0.136,0.186,1,0.136,1,"Cricotopus","glm"
"6",6,0.556,0.111,0.139,1,0.111,1,"Cricotopus","glm"
"7",7,0.799,0.598,0.5,0.678,0.92,1,"Cricotopus","glm"
"8",8,0.904,0.803,0.778,0.878,0.926,0.594301906770221,"Cricotopus","glm"
"9",9,0.665,0.331,0.386,0.942,0.389,1,"Cricotopus","glm"
"10",10,0.566,0.132,0.161,0.946,0.185,1,"Cricotopus","glm"
"11",11,0.963,0.758,0.694,0.845,0.913,0.75,"Cricotopus","tree"
"12",12,0.964,0.857,0.698,0.857,1,1,"Cricotopus","tree"
"13",13,0.977,0.825,0.724,0.887,0.938,0.833333333333333,"Cricotopus","tree"
"14",14,0.976,0.818,0.742,0.87,0.947,0.8,"Cricotopus","tree"
"15",15,0.969,0.849,0.794,0.895,0.955,0.833333333333333,"Cricotopus","tree"
"16",16,0.989,0.902,0.887,0.939,0.963,0.8,"Cricotopus","tree"
"17",17,0.993,0.926,0.916,0.966,0.96,0.857142857142857,"Cricotopus","tree"
"18",18,0.924,0.746,0.722,0.857,0.889,0.888888888888889,"Cricotopus","tree"
"19",19,0.969,0.802,0.741,0.913,0.889,0.8,"Cricotopus","tree"
"20",20,0.936,0.749,0.677,0.786,0.963,0.975,"Cricotopus","tree"
"21",21,0.927,0.723,0.704,0.897,0.826,0.654602142574689,"Cricotopus","brt"
"22",22,0.953,0.825,0.645,0.825,1,0.824288227352472,"Cricotopus","brt"
"23",23,0.939,0.742,0.541,0.742,1,0.840906591203473,"Cricotopus","brt"
"24",24,0.938,0.752,0.779,0.963,0.789,0.611444235877904,"Cricotopus","brt"
"25",25,0.917,0.741,0.702,0.877,0.864,0.675464680645972,"Cricotopus","brt"
"26",26,0.949,0.837,0.785,0.837,1,0.675921134593189,"Cricotopus","brt"
"27",27,0.945,0.774,0.694,0.814,0.96,0.745559709764963,"Cricotopus","brt"
"28",28,0.957,0.794,0.822,0.98,0.815,0.608719752264146,"Cricotopus","brt"
"29",29,0.964,0.872,0.806,0.928,0.944,0.745991809692239,"Cricotopus","brt"
"30",30,0.939,0.765,0.717,0.839,0.926,0.736366106035428,"Cricotopus","brt"
"31",31,0.807,0.628,0.549,0.759,0.87,0.618562883046393,"Cricotopus","fda"
"32",32,0.901,0.73,0.51,0.73,1,0.864118561938653,"Cricotopus","fda"
"33",33,0.791,0.677,0.463,0.677,1,0.73947755740312,"Cricotopus","fda"
"34",34,0.866,0.744,0.635,0.796,0.947,0.631091541309583,"Cricotopus","fda"
"35",35,0.842,0.66,0.617,0.842,0.818,0.595330881578255,"Cricotopus","fda"
"36",36,0.828,0.57,0.539,0.755,0.815,0.626706579217324,"Cricotopus","fda"
"37",37,0.864,0.664,0.642,0.864,0.8,0.642587209152169,"Cricotopus","fda"
"38",38,0.783,0.537,0.524,0.796,0.741,0.554155015870955,"Cricotopus","fda"
"39",39,0.743,0.423,0.246,0.478,0.944,0.867419364997194,"Cricotopus","fda"
"40",40,0.817,0.658,0.585,0.732,0.926,0.662879773818548,"Cricotopus","fda"
"41",41,0.848,0.645,0.571,0.776,0.87,0.553864657878876,"Cricotopus","rbf"
"42",42,0.907,0.743,0.581,0.81,0.933,0.723411917686462,"Cricotopus","rbf"
"43",43,0.8,0.573,0.493,0.823,0.75,0.655228018760681,"Cricotopus","rbf"
"44",44,0.788,0.673,0.575,0.778,0.895,0.562325179576874,"Cricotopus","rbf"
"45",45,0.837,0.59,0.524,0.772,0.818,0.644348382949829,"Cricotopus","rbf"
"46",46,0.885,0.722,0.677,0.796,0.926,0.57239294052124,"Cricotopus","rbf"
"47",47,0.83,0.637,0.583,0.797,0.84,0.601997256278992,"Cricotopus","rbf"
"48",48,0.804,0.57,0.539,0.755,0.815,0.55557781457901,"Cricotopus","rbf"
"49",49,0.862,0.597,0.405,0.652,0.944,0.759935855865479,"Cricotopus","rbf"
"50",50,0.84,0.692,0.643,0.804,0.889,0.573776960372925,"Cricotopus","rbf"
