"","Zaitzevia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2278,0.16983671757483,0.28576328242517,"DS_Tim",0.11488,0.0698990889020687,0.159860911097931
"DS_Mag_50","DS_Mag_50",0.15994,0.0654169894718752,0.254463010528125,"DS_Mag_50",0.04044,0.0148963418281563,0.0659836581718438
"DS_Mag_90","DS_Mag_90",0.22488,0.140470510144297,0.309289489855703,"DS_Mag_90",0.07576,0.051632049718221,0.099887950281779
"SP_ROC","SP_ROC",0.05782,0.0421080523899804,0.0735319476100196,"SP_ROC",0.03664,0.0107788230971597,0.0625011769028403
"SP_Dur","SP_Dur",0.26946,0.150599156601932,0.388320843398068,"SP_Dur",0.07672,0.0380920472041295,0.115347952795871
"SP_Mag","SP_Mag",0.24202,0.155503347350351,0.328536652649649,"SP_Mag",0.11636,0.0487636377546839,0.183956362245316
"SP_Tim","SP_Tim",0.32964,0.205258566589302,0.454021433410698,"SP_Tim",0.11988,0.0508604221311083,0.188899577868892
"Wet_BFL_Dur","Wet_BFL_Dur",0.41916,0.250335171454848,0.587984828545152,"Wet_BFL_Dur",0.14624,0.103179877255168,0.189300122744832
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.262,0.163024778828234,0.360975221171766,"Wet_BFL_Mag_10",0.11584,0.0705059478228562,0.161174052177144
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.0901,0.053842118980834,0.126357881019166,"Wet_BFL_Mag_50",0.0298,0.0175321769657368,0.0420678230342632
"Wet_Tim","Wet_Tim",0.52398,0.415167606332275,0.632792393667725,"Wet_Tim",0.30276,0.194555076134216,0.410964923865783
"DS_Dur_WS","DS_Dur_WS",0.10328,0.0783873633939673,0.128172636606033,"DS_Dur_WS",0.04232,0.0237332206878115,0.0609067793121885
"Q99","Q99",0.3101,0.188190604629914,0.432009395370086,"Q99",0.13008,0.0634529862653293,0.196707013734671
"FA_Dur","FA_Dur",0.03996,0.0152532447031181,0.0646667552968819,"FA_Dur",0.02036,0.00677428718101255,0.0339457128189875
"FA_Mag","FA_Mag",0.21588,0.123531070018652,0.308228929981348,"FA_Mag",0.0696,0.0442148785703121,0.0949851214296879
"FA_Tim","FA_Tim",0.2951,0.126379288242374,0.463820711757626,"FA_Tim",0.21156,0.0785469498402507,0.344573050159749
