"","Wormaldia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.28532,0.187529887183315,0.383110112816685,"DS_Tim",0.05164,0.0256284848807302,0.0776515151192698
"DS_Mag_50","DS_Mag_50",0.24492,0.20454155602057,0.28529844397943,"DS_Mag_50",0.04496,0.0200744248449026,0.0698455751550974
"DS_Mag_90","DS_Mag_90",0.32354,0.26755771337021,0.37952228662979,"DS_Mag_90",0.06544,0.0462332000374867,0.0846467999625133
"SP_ROC","SP_ROC",0.28378,0.148302512360171,0.419257487639829,"SP_ROC",0.0422,0.0226567998014655,0.0617432001985345
"SP_Dur","SP_Dur",0.35634,0.243936768299128,0.468743231700872,"SP_Dur",0.08076,0.0126221426753086,0.148897857324691
"SP_Mag","SP_Mag",0.32118,0.261114639569049,0.381245360430951,"SP_Mag",0.0774,0.0334786674837841,0.121321332516216
"SP_Tim","SP_Tim",0.12278,0.0846085376793081,0.160951462320692,"SP_Tim",0.03616,0.0182719260175949,0.0540480739824051
"Wet_BFL_Dur","Wet_BFL_Dur",0.40656,0.244852254473386,0.568267745526614,"Wet_BFL_Dur",0.16036,0.073341148463106,0.247378851536894
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.10448,0.0528175755243717,0.156142424475628,"Wet_BFL_Mag_10",0.0298,0.0146109484167049,0.0449890515832951
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.20242,0.125492478129086,0.279347521870914,"Wet_BFL_Mag_50",0.07324,0.0303267186898974,0.116153281310103
"Wet_Tim","Wet_Tim",0.34986,0.216148271537984,0.483571728462016,"Wet_Tim",0.08888,0.0262464757082918,0.151513524291708
"DS_Dur_WS","DS_Dur_WS",0.15786,0.0935264091916206,0.222193590808379,"DS_Dur_WS",0.01696,0.00907011744067125,0.0248498825593287
"Q99","Q99",0.28056,0.181419947918109,0.379700052081891,"Q99",0.08152,0.0333012811742162,0.129738718825784
"FA_Dur","FA_Dur",0.19158,0.089617832208706,0.293542167791294,"FA_Dur",0.07008,0.0177788130039098,0.12238118699609
"FA_Mag","FA_Mag",0.21842,0.139647250392664,0.297192749607336,"FA_Mag",0.01876,0.0104011112700312,0.0271188887299688
"FA_Tim","FA_Tim",0.3517,0.235680333425751,0.467719666574249,"FA_Tim",0.07808,0.0431266407165205,0.113033359283479
