"","Cheumatopsyche","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.4476,0.390799741910798,0.504400258089202,"DS_Tim",0.136266666666667,0.0620074724794596,0.210525860853874
"DS_Mag_50","DS_Mag_50",0.449733333333333,0.338921099959336,0.560545566707331,"DS_Mag_50",0.0988666666666667,0.0775859190920787,0.120147414241255
"DS_Mag_90","DS_Mag_90",0.4653,0.425278426967447,0.505321573032553,"DS_Mag_90",0.151133333333333,0.0961477058172875,0.206118960849379
"SP_ROC","SP_ROC",0.0871666666666667,0.0617250789541568,0.112608254379177,"SP_ROC",0.0306,0.0134382440292376,0.0477617559707624
"SP_Dur","SP_Dur",0.340333333333333,0.192284049166427,0.488382617500239,"SP_Dur",0.0509333333333333,0.0289166058441415,0.0729500608225251
"SP_Mag","SP_Mag",0.3606,0.308152623907387,0.413047376092613,"SP_Mag",0.1222,0.0522532594612158,0.192146740538784
"SP_Tim","SP_Tim",0.409233333333333,0.300012406609865,0.518454260056802,"SP_Tim",0.0426666666666667,0.0226995825196678,0.0626337508136655
"Wet_BFL_Dur","Wet_BFL_Dur",0.716966666666667,0.620264768369201,0.813668564964132,"Wet_BFL_Dur",0.188733333333333,0.124982067296231,0.252484599370435
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.111733333333333,0.0617627178745126,0.161703948792154,"Wet_BFL_Mag_10",0.0395333333333333,0.0104436162268826,0.0686230504397841
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.246666666666667,0.183606306452556,0.309727026880777,"Wet_BFL_Mag_50",0.03,0.0239050617722572,0.0360949382277428
"Wet_Tim","Wet_Tim",0.3423,0.078562294214498,0.606037705785502,"Wet_Tim",0.0592,0.0210477806150153,0.0973522193849847
"DS_Dur_WS","DS_Dur_WS",0.213666666666667,0.186982383570932,0.240350949762402,"DS_Dur_WS",0.0726666666666667,0.023241978409346,0.122091354923987
"Q99","Q99",0.473933333333333,0.44679492615212,0.501071740514547,"Q99",0.0844666666666667,0.0345708702772579,0.134362463056075
"FA_Dur","FA_Dur",0.282833333333333,0.177504025520487,0.38816264114618,"FA_Dur",0.1348,0.0366826662408726,0.232917333759127
"FA_Mag","FA_Mag",0.300933333333333,0.223328403462008,0.378538263204659,"FA_Mag",0.104133333333333,0.0530336548868564,0.15523301177981
"FA_Tim","FA_Tim",0.508166666666667,0.326459151102964,0.68987418223037,"FA_Tim",0.0834666666666667,0.0524930332128186,0.114440300120515
