"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.665,0.331,0.372,0.956,0.375,1,"Ostracoda","glm"
"2",2,0.584,0.168,0.225,0.968,0.2,1,"Ostracoda","glm"
"3",3,0.523,0.047,0.07,0.984,0.062,1,"Ostracoda","glm"
"4",4,0.916,0.726,0.726,0.957,0.769,0.690482019105503,"Ostracoda","glm"
"5",5,0.884,0.712,0.374,0.712,1,0.920030538350718,"Ostracoda","glm"
"6",6,0.486,-0.029,-0.044,0.971,0,1,"Ostracoda","glm"
"7",7,0.535,0.07,0.088,0.928,0.143,1,"Ostracoda","glm"
"8",8,0.864,0.652,0.387,0.652,1,0.869158208402315,"Ostracoda","glm"
"9",9,0.729,0.459,0.459,0.959,0.5,1,"Ostracoda","glm"
"10",10,0.805,0.652,0.721,0.985,0.667,0.687465214556531,"Ostracoda","glm"
"11",11,0.94,0.809,0.471,0.809,1,1,"Ostracoda","tree"
"12",12,0.978,0.889,0.687,0.889,1,1,"Ostracoda","tree"
"13",13,0.952,0.734,0.701,0.922,0.812,0.8,"Ostracoda","tree"
"14",14,0.947,0.723,0.514,0.8,0.923,0.857142857142857,"Ostracoda","tree"
"15",15,0.938,0.822,0.527,0.822,1,1,"Ostracoda","tree"
"16",16,0.953,0.855,0.619,0.855,1,1,"Ostracoda","tree"
"17",17,0.956,0.799,0.756,0.942,0.857,0.888888888888889,"Ostracoda","tree"
"18",18,0.961,0.797,0.57,0.797,1,1,"Ostracoda","tree"
"19",19,0.96,0.863,0.489,0.863,1,1,"Ostracoda","tree"
"20",20,0.985,0.955,0.834,0.955,1,1,"Ostracoda","tree"
"21",21,0.932,0.787,0.617,0.912,0.875,0.835257663535381,"Ostracoda","brt"
"22",22,0.984,0.921,0.761,0.921,1,0.819756324859767,"Ostracoda","brt"
"23",23,0.944,0.797,0.836,0.984,0.812,0.700636047956109,"Ostracoda","brt"
"24",24,0.969,0.895,0.867,0.971,0.923,0.817141198889401,"Ostracoda","brt"
"25",25,0.933,0.777,0.577,0.877,0.9,0.815841185543653,"Ostracoda","brt"
"26",26,0.97,0.841,0.592,0.841,1,0.863437568245164,"Ostracoda","brt"
"27",27,0.97,0.885,0.837,0.957,0.929,0.795491910631818,"Ostracoda","brt"
"28",28,0.973,0.828,0.828,0.971,0.857,0.7741536988021,"Ostracoda","brt"
"29",29,0.982,0.918,0.629,0.918,1,0.866184428010167,"Ostracoda","brt"
"30",30,0.997,0.97,0.885,0.97,1,0.774214633039966,"Ostracoda","brt"
"31",31,0.809,0.603,0.242,0.603,1,0.900397188376889,"Ostracoda","fda"
"32",32,0.895,0.737,0.679,0.937,0.8,0.790398911053245,"Ostracoda","fda"
"33",33,0.845,0.562,0.396,0.688,0.875,0.699866523139748,"Ostracoda","fda"
"34",34,0.825,0.544,0.544,0.929,0.615,0.787879323696311,"Ostracoda","fda"
"35",35,0.814,0.603,0.268,0.603,1,0.915300173215564,"Ostracoda","fda"
"36",36,0.862,0.615,0.422,0.797,0.818,0.839363049546105,"Ostracoda","fda"
"37",37,0.747,0.464,0.226,0.464,1,0.852870955111182,"Ostracoda","fda"
"38",38,0.821,0.58,0.318,0.58,1,0.878514081913149,"Ostracoda","fda"
"39",39,0.813,0.534,0.148,0.534,1,0.941525791824511,"Ostracoda","fda"
"40",40,0.747,0.485,0.339,0.818,0.667,0.941846601634211,"Ostracoda","fda"
"41",41,0.818,0.632,0.266,0.632,1,0.847310304641724,"Ostracoda","rbf"
"42",42,0.868,0.667,0.354,0.667,1,0.792833089828491,"Ostracoda","rbf"
"43",43,0.803,0.609,0.451,0.734,0.875,0.663834810256958,"Ostracoda","rbf"
"44",44,0.84,0.56,0.358,0.714,0.846,0.793842554092407,"Ostracoda","rbf"
"45",45,0.819,0.612,0.329,0.712,0.9,0.829151511192322,"Ostracoda","rbf"
"46",46,0.826,0.622,0.702,0.986,0.636,0.688263475894928,"Ostracoda","rbf"
"47",47,0.755,0.507,0.258,0.507,1,0.822125554084778,"Ostracoda","rbf"
"48",48,0.803,0.551,0.293,0.551,1,0.843301773071289,"Ostracoda","rbf"
"49",49,0.804,0.475,0.248,0.808,0.667,0.880572915077209,"Ostracoda","rbf"
"50",50,0.714,0.561,0.47,0.894,0.667,0.7605961561203,"Ostracoda","rbf"
