"","Corbicula","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.34858,0.264841971878363,0.432318028121637,"DS_Tim",0.19048,0.131184144586658,0.249775855413342
"DS_Mag_50","DS_Mag_50",0.30234,0.202277551225247,0.402402448774753,"DS_Mag_50",0.17484,0.113196192713298,0.236483807286702
"DS_Mag_90","DS_Mag_90",0.28398,0.190346234761706,0.377613765238294,"DS_Mag_90",0.08868,0.0542440075908941,0.123115992409106
"SP_ROC","SP_ROC",0.17542,0.12112359548552,0.22971640451448,"SP_ROC",0.13728,0.0940381954446857,0.180521804555314
"SP_Dur","SP_Dur",0.5416,0.465124930640764,0.618075069359236,"SP_Dur",0.35752,0.241112755246076,0.473927244753924
"SP_Mag","SP_Mag",0.47086,0.346057300118147,0.595662699881853,"SP_Mag",0.2428,0.164257631140893,0.321342368859107
"SP_Tim","SP_Tim",0.4852,0.440538240434349,0.529861759565651,"SP_Tim",0.24772,0.197535693656283,0.297904306343717
"Wet_BFL_Dur","Wet_BFL_Dur",0.4407,0.295500659569336,0.585899340430664,"Wet_BFL_Dur",0.19784,0.108644994339369,0.287035005660631
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.22732,0.152366059628596,0.302273940371404,"Wet_BFL_Mag_10",0.12412,0.0628117921384094,0.185428207861591
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.41416,0.256012590712652,0.572307409287348,"Wet_BFL_Mag_50",0.27496,0.181960080845196,0.367959919154804
"Wet_Tim","Wet_Tim",0.43108,0.289495284731367,0.572664715268633,"Wet_Tim",0.22828,0.0686460826478283,0.387913917352172
"DS_Dur_WS","DS_Dur_WS",0.2667,0.176642045656699,0.3567579543433,"DS_Dur_WS",0.12244,0.0434504376085043,0.201429562391496
"Q99","Q99",0.3617,0.231638579945858,0.491761420054142,"Q99",0.177,0.122664722122731,0.231335277877269
"FA_Dur","FA_Dur",0.24972,0.143747548085835,0.355692451914165,"FA_Dur",0.13752,0.0635384180947717,0.211501581905228
"FA_Mag","FA_Mag",0.33028,0.200472288338866,0.460087711661134,"FA_Mag",0.15052,0.086913598457388,0.214126401542612
"FA_Tim","FA_Tim",0.4796,0.351611868683069,0.607588131316931,"FA_Tim",0.25588,0.145456793656406,0.366303206343594
