"","Lebertia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.22194,0.13074191925923,0.31313808074077,"DS_Tim",0.10648,0.0255103325608904,0.18744966743911
"DS_Mag_50","DS_Mag_50",0.16576,0.117392350932674,0.214127649067326,"DS_Mag_50",0.07152,0.0346822575447409,0.108357742455259
"DS_Mag_90","DS_Mag_90",0.28246,0.199304642431771,0.365615357568229,"DS_Mag_90",0.16648,0.103784673290587,0.229175326709413
"SP_ROC","SP_ROC",0.15078,0.0975283564084638,0.204031643591536,"SP_ROC",0.06884,0.0347955137092656,0.102884486290734
"SP_Dur","SP_Dur",0.16672,0.13909504892855,0.19434495107145,"SP_Dur",0.09576,0.0544062991160404,0.13711370088396
"SP_Mag","SP_Mag",0.41946,0.333964094265866,0.504955905734134,"SP_Mag",0.28276,0.17088686390022,0.39463313609978
"SP_Tim","SP_Tim",0.26872,0.208129826731557,0.329310173268443,"SP_Tim",0.12872,0.0833928758335586,0.174047124166441
"Wet_BFL_Dur","Wet_BFL_Dur",0.51468,0.412947553987432,0.616412446012568,"Wet_BFL_Dur",0.33948,0.267798154730783,0.411161845269217
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.18242,0.1202315346089,0.2446084653911,"Wet_BFL_Mag_10",0.083,0.0583075974842463,0.107692402515754
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.23198,0.143436156672528,0.320523843327473,"Wet_BFL_Mag_50",0.08364,0.0544785854115408,0.112801414588459
"Wet_Tim","Wet_Tim",0.31448,0.218189667501353,0.410770332498647,"Wet_Tim",0.18752,0.135671905462206,0.239368094537794
"DS_Dur_WS","DS_Dur_WS",0.31478,0.212670046412213,0.416889953587787,"DS_Dur_WS",0.13188,0.0917230963942686,0.172036903605731
"Q99","Q99",0.25318,0.17237609244164,0.33398390755836,"Q99",0.13668,0.0647178119204259,0.208642188079574
"FA_Dur","FA_Dur",0.2912,0.148031785241975,0.434368214758025,"FA_Dur",0.09436,0.0597783979723322,0.128941602027668
"FA_Mag","FA_Mag",0.16938,0.114396045643297,0.224363954356703,"FA_Mag",0.08908,0.0466239613812122,0.131536038618788
"FA_Tim","FA_Tim",0.53282,0.467211933112612,0.598428066887388,"FA_Tim",0.33304,0.251106097939864,0.414973902060136
