"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.927,0.759,0.648,1,0.759,0.285801261315448,"Gumaga","glm"
"2",2,0.635,0.271,0.362,0.286,0.985,1,"Gumaga","glm"
"3",3,0.852,0.704,0.543,1,0.704,1,"Gumaga","glm"
"4",4,0.855,0.71,0.576,0.947,0.763,1,"Gumaga","glm"
"5",5,0.795,0.589,0.47,1,0.589,1,"Gumaga","glm"
"6",6,0.727,0.454,0.505,0.5,0.954,1,"Gumaga","glm"
"7",7,0.978,0.918,0.852,1,0.918,0.414285591046611,"Gumaga","glm"
"8",8,0.894,0.788,0.702,1,0.788,1,"Gumaga","glm"
"9",9,0.789,0.579,0.442,1,0.579,1,"Gumaga","glm"
"10",10,0.836,0.673,0.532,1,0.673,1,"Gumaga","glm"
"11",11,0.976,0.813,0.775,0.917,0.897,0.333333333333333,"Gumaga","tree"
"12",12,0.984,0.864,0.689,1,0.864,0.2,"Gumaga","tree"
"13",13,0.987,0.87,0.77,1,0.87,0.333333333333333,"Gumaga","tree"
"14",14,0.983,0.915,0.84,1,0.915,0.6,"Gumaga","tree"
"15",15,0.984,0.849,0.83,0.92,0.929,0.4,"Gumaga","tree"
"16",16,0.962,0.809,0.672,0.917,0.892,0.2,"Gumaga","tree"
"17",17,0.973,0.852,0.747,1,0.852,0.4,"Gumaga","tree"
"18",18,0.972,0.808,0.726,1,0.808,0.333333333333333,"Gumaga","tree"
"19",19,0.983,0.912,0.857,1,0.912,0.4,"Gumaga","tree"
"20",20,0.977,0.861,0.814,0.952,0.909,0.4,"Gumaga","tree"
"21",21,0.971,0.865,0.855,0.917,0.948,0.387898805071132,"Gumaga","brt"
"22",22,0.977,0.883,0.836,0.929,0.955,0.305415493745415,"Gumaga","brt"
"23",23,0.972,0.852,0.852,0.889,0.963,0.434866090013685,"Gumaga","brt"
"24",24,0.962,0.831,0.705,1,0.831,0.222926593442776,"Gumaga","brt"
"25",25,0.974,0.884,0.884,0.92,0.964,0.386906802954162,"Gumaga","brt"
"26",26,0.969,0.846,0.632,1,0.846,0.216961288496673,"Gumaga","brt"
"27",27,0.951,0.803,0.677,1,0.803,0.249546829027782,"Gumaga","brt"
"28",28,0.965,0.843,0.798,0.958,0.885,0.289208861247179,"Gumaga","brt"
"29",29,0.967,0.817,0.817,0.87,0.947,0.412743487339745,"Gumaga","brt"
"30",30,0.963,0.832,0.808,0.905,0.927,0.38472499512627,"Gumaga","brt"
"31",31,0.839,0.602,0.561,0.792,0.81,0.386613937048562,"Gumaga","fda"
"32",32,0.923,0.792,0.647,0.929,0.864,0.250723596210532,"Gumaga","fda"
"33",33,0.887,0.815,0.733,0.944,0.87,0.39242441102767,"Gumaga","fda"
"34",34,0.911,0.676,0.533,0.947,0.729,0.293953806511932,"Gumaga","fda"
"35",35,0.853,0.59,0.531,0.84,0.75,0.428500640200654,"Gumaga","fda"
"36",36,0.899,0.754,0.488,1,0.754,0.0916476296576147,"Gumaga","fda"
"37",37,0.873,0.69,0.559,0.952,0.738,0.375756673420654,"Gumaga","fda"
"38",38,0.943,0.827,0.751,1,0.827,0.429507519054082,"Gumaga","fda"
"39",39,0.83,0.632,0.496,1,0.632,0.386999096255659,"Gumaga","fda"
"40",40,0.833,0.673,0.532,1,0.673,0.238920925861536,"Gumaga","fda"
"41",41,0.877,0.661,0.616,0.833,0.828,0.376149743795395,"Gumaga","rbf"
"42",42,0.92,0.788,0.565,1,0.788,0.296725124120712,"Gumaga","rbf"
"43",43,0.927,0.759,0.612,1,0.759,0.372895985841751,"Gumaga","rbf"
"44",44,0.948,0.81,0.769,0.895,0.915,0.456591188907623,"Gumaga","rbf"
"45",45,0.899,0.71,0.621,0.96,0.75,0.41414201259613,"Gumaga","rbf"
"46",46,0.917,0.723,0.449,1,0.723,0.204040229320526,"Gumaga","rbf"
"47",47,0.883,0.721,0.57,1,0.721,0.304167330265045,"Gumaga","rbf"
"48",48,0.93,0.74,0.709,0.875,0.865,0.480381935834885,"Gumaga","rbf"
"49",49,0.853,0.702,0.575,1,0.702,0.405928313732147,"Gumaga","rbf"
"50",50,0.813,0.6,0.453,1,0.6,0.335839748382568,"Gumaga","rbf"
