"","Epeorus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.324425,0.207965256556539,0.440884743443461,"DS_Tim",0.1406,0.0770086968419947,0.204191303158005
"DS_Mag_50","DS_Mag_50",0.2526,0.222439846541062,0.282760153458938,"DS_Mag_50",0.06735,0.045032898134689,0.089667101865311
"DS_Mag_90","DS_Mag_90",0.25415,0.160723283362484,0.347576716637516,"DS_Mag_90",0.1128,0.072902484053933,0.152697515946067
"SP_ROC","SP_ROC",0.067825,0.038767066976756,0.096882933023244,"SP_ROC",0.03105,0.0155744015409204,0.0465255984590796
"SP_Dur","SP_Dur",0.405075,0.300726416692655,0.509423583307345,"SP_Dur",0.15485,0.108233690911871,0.201466309088129
"SP_Mag","SP_Mag",0.124,0.0770005615849154,0.170999438415085,"SP_Mag",0.0244,0.0150980842116619,0.0337019157883381
"SP_Tim","SP_Tim",0.20275,0.0894886967009473,0.316011303299053,"SP_Tim",0.0886,0.0390004453514617,0.138199554648538
"Wet_BFL_Dur","Wet_BFL_Dur",0.2348,0.135558744623687,0.334041255376313,"Wet_BFL_Dur",0.1342,0.0780706621928722,0.190329337807128
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.16355,0.0817535782465598,0.24534642175344,"Wet_BFL_Mag_10",0.0679,0.0253824164217517,0.110417583578248
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.214025,0.133369478067215,0.294680521932785,"Wet_BFL_Mag_50",0.0487,0.0336968219811046,0.0637031780188954
"Wet_Tim","Wet_Tim",0.25185,0.136984882543336,0.366715117456665,"Wet_Tim",0.10445,0.0483740508982089,0.160525949101791
"DS_Dur_WS","DS_Dur_WS",0.2265,0.127147693766073,0.325852306233927,"DS_Dur_WS",0.06525,0.0367270751675078,0.0937729248324922
"Q99","Q99",0.2367,0.153688089742094,0.319711910257906,"Q99",0.065,0.0350586877597747,0.0949413122402253
"FA_Dur","FA_Dur",0.277225,0.128305127512869,0.426144872487131,"FA_Dur",0.12815,0.0746884250543751,0.181611574945625
"FA_Mag","FA_Mag",0.302225,0.192965061393711,0.411484938606289,"FA_Mag",0.1214,0.0772965156932017,0.165503484306798
"FA_Tim","FA_Tim",0.413775,0.295923990607137,0.531626009392863,"FA_Tim",0.17565,0.115703718283227,0.235596281716773
