"","Psectrocladius","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.268033333333333,0.255002987354299,0.281063679312368,"DS_Tim",0.0277333333333333,0.0144887019178,0.0409779647488667
"DS_Mag_50","DS_Mag_50",0.427666666666667,0.310484804963017,0.544848528370316,"DS_Mag_50",0.0220666666666667,0.0125096147502369,0.0316237185830964
"DS_Mag_90","DS_Mag_90",0.585333333333333,0.43922693199399,0.731439734672677,"DS_Mag_90",0.113466666666667,0.0362481182127276,0.190685215120606
"SP_ROC","SP_ROC",0.8373,0.763332199356747,0.911267800643253,"SP_ROC",0.215333333333333,0.161720048027046,0.26894661863962
"SP_Dur","SP_Dur",0.1302,0.0734995043848821,0.186900495615118,"SP_Dur",0.0140666666666667,0.00592479898576363,0.0222085343475697
"SP_Mag","SP_Mag",0.5964,0.470071794372753,0.722728205627247,"SP_Mag",0.0924666666666667,0.0454276534825731,0.13950567985076
"SP_Tim","SP_Tim",0.3039,0.16126931559794,0.44653068440206,"SP_Tim",0.0354,0.0201204831228209,0.0506795168771791
"Wet_BFL_Dur","Wet_BFL_Dur",0.5659,0.401117429438062,0.730682570561938,"Wet_BFL_Dur",0.0501333333333333,0.0384872657853009,0.0617794008813657
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.232633333333333,0.0662037651660953,0.399062901500571,"Wet_BFL_Mag_10",0.0230666666666667,0.00524242695403563,0.0408909063792977
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.386766666666667,0.254067634110535,0.519465699222799,"Wet_BFL_Mag_50",0.0242,0.0148683619873036,0.0335316380126964
"Wet_Tim","Wet_Tim",0.5979,0.55169292205733,0.64410707794267,"Wet_Tim",0.0501333333333333,0.0148825639611149,0.0853841027055518
"DS_Dur_WS","DS_Dur_WS",0.161333333333333,0.084494250326485,0.238172416340182,"DS_Dur_WS",0.0175333333333333,0.00927783908202812,0.0257888275846385
"Q99","Q99",0.5081,0.401449622977694,0.614750377022306,"Q99",0.0442666666666667,0.0313822442374953,0.057151089095838
"FA_Dur","FA_Dur",0.0811666666666667,0.0466950941128458,0.115638239220487,"FA_Dur",0.00433333333333333,0.00231459676475056,0.0063520699019161
"FA_Mag","FA_Mag",0.4659,0.34186636475133,0.58993363524867,"FA_Mag",0.0901333333333333,0.0501183200341561,0.130148346632511
"FA_Tim","FA_Tim",0.196033333333333,0.112456506160167,0.2796101605065,"FA_Tim",0.0064,0.00299247362446011,0.00980752637553989
