"","Eubrianax edwardsii","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2871,0.0881498502589154,0.486050149741085,"DS_Tim",0.067,0.0205713687472913,0.113428631252709
"DS_Mag_50","DS_Mag_50",0.37815,0.282555527144609,0.473744472855391,"DS_Mag_50",0.0694,0.0445918656888512,0.0942081343111488
"DS_Mag_90","DS_Mag_90",0.47475,0.412556423060737,0.536943576939263,"DS_Mag_90",0.0568,0.0310217151850632,0.0825782848149368
"SP_ROC","SP_ROC",0.2357,0.0723682330408441,0.399031766959156,"SP_ROC",0.0601,0.0184528248016747,0.101747175198325
"SP_Dur","SP_Dur",0.91375,0.902697213903273,0.924802786096727,"SP_Dur",0.0823,0.0779343227329543,0.0866656772670457
"SP_Mag","SP_Mag",0.39325,0.314148085709004,0.472351914290995,"SP_Mag",0.0714,0.0507496535622281,0.0920503464377719
"SP_Tim","SP_Tim",0.3571,0.109642325069518,0.604557674930482,"SP_Tim",0.1011,0.0310412743335992,0.171158725666401
"Wet_BFL_Dur","Wet_BFL_Dur",0.1307,0.091824683383926,0.169575316616074,"Wet_BFL_Dur",0.0424,0.0307581939545447,0.0540418060454553
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1845,0.152138551052216,0.216861448947784,"Wet_BFL_Mag_10",0.0396,0.037382513134199,0.041817486865801
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.30405,0.259665614451702,0.348434385548298,"Wet_BFL_Mag_50",0.0355,0.0341833671734307,0.0368166328265694
"Wet_Tim","Wet_Tim",0.2225,0.205522366183711,0.239477633816289,"Wet_Tim",0.0468,0.0366827161747829,0.0569172838252171
"DS_Dur_WS","DS_Dur_WS",0.15075,0.0462855796814054,0.255214420318595,"DS_Dur_WS",0.0212,0.00650914951406829,0.0358908504859317
"Q99","Q99",0.38645,0.213243486841574,0.559656513158426,"Q99",0.1155,0.0651214702675832,0.165878529732417
"FA_Dur","FA_Dur",0.37155,0.114078985941135,0.629021014058865,"FA_Dur",0.0975,0.0299359470576254,0.165064052942375
"FA_Mag","FA_Mag",0.29655,0.135470368138923,0.457629631861077,"FA_Mag",0.0432,0.0228268394204532,0.0635731605795468
"FA_Tim","FA_Tim",0.17105,0.102481148321559,0.239618851678441,"FA_Tim",0.0912,0.0662532727597386,0.116146727240261
