"","Ablabesmyia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.22824,0.0976059237247034,0.358874076275297,"DS_Tim",0.0938,0.00247267530470413,0.185127324695296
"DS_Mag_50","DS_Mag_50",0.58812,0.501256077323782,0.674983922676218,"DS_Mag_50",0.3626,0.235740580349743,0.489459419650257
"DS_Mag_90","DS_Mag_90",0.34342,0.23069091053681,0.45614908946319,"DS_Mag_90",0.1604,0.0699692023257563,0.250830797674244
"SP_ROC","SP_ROC",0.17704,0.107893103498422,0.246186896501578,"SP_ROC",0.07668,0.0367054528330839,0.116654547166916
"SP_Dur","SP_Dur",0.2733,0.157354242460105,0.389245757539894,"SP_Dur",0.12068,0.062477792574508,0.178882207425492
"SP_Mag","SP_Mag",0.25036,0.159114325322786,0.341605674677214,"SP_Mag",0.0946,0.0276111037708487,0.161588896229151
"SP_Tim","SP_Tim",0.5399,0.495799455558916,0.584000544441084,"SP_Tim",0.19884,0.125795366201205,0.271884633798795
"Wet_BFL_Dur","Wet_BFL_Dur",0.42928,0.31841408954417,0.540145910455829,"Wet_BFL_Dur",0.09056,0.0457874904344195,0.135332509565581
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.28492,0.212398945514423,0.357441054485577,"Wet_BFL_Mag_10",0.12608,0.0630054991839016,0.189154500816098
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.23006,0.129307977046116,0.330812022953884,"Wet_BFL_Mag_50",0.10988,0.0520448202976769,0.167715179702323
"Wet_Tim","Wet_Tim",0.37518,0.269790571494575,0.480569428505425,"Wet_Tim",0.13108,0.0607834380271695,0.20137656197283
"DS_Dur_WS","DS_Dur_WS",0.48802,0.395912248207873,0.580127751792127,"DS_Dur_WS",0.1072,0.0689612212799624,0.145438778720038
"Q99","Q99",0.49876,0.420035894861866,0.577484105138134,"Q99",0.17396,0.101089029286004,0.246830970713996
"FA_Dur","FA_Dur",0.26656,0.152368117182963,0.380751882817037,"FA_Dur",0.10876,0.0262891598636221,0.191230840136378
"FA_Mag","FA_Mag",0.37534,0.253886674097413,0.496793325902587,"FA_Mag",0.17112,0.0753277796311204,0.26691222036888
"FA_Tim","FA_Tim",0.06638,-0.00244777286241361,0.135207772862414,"FA_Tim",0.02836,0.00823627805797347,0.0484837219420265
