"","Dixa","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.33398,0.238911454430501,0.429048545569499,"DS_Tim",0.0784,0.0216163356765346,0.135183664323465
"DS_Mag_50","DS_Mag_50",0.3574,0.234461465648479,0.480338534351521,"DS_Mag_50",0.0378,0.0290379011646752,0.0465620988353248
"DS_Mag_90","DS_Mag_90",0.32316,0.187413157958279,0.458906842041721,"DS_Mag_90",0.04388,0.0245986898992833,0.0631613101007167
"SP_ROC","SP_ROC",0.3095,0.225526443891544,0.393473556108456,"SP_ROC",0.0664,0.0322095850566273,0.100590414943373
"SP_Dur","SP_Dur",0.16906,0.115708926910511,0.222411073089489,"SP_Dur",0.02848,0.00817854839672789,0.0487814516032721
"SP_Mag","SP_Mag",0.39132,0.263307570803847,0.519332429196153,"SP_Mag",0.04068,0.012481821881547,0.068878178118453
"SP_Tim","SP_Tim",0.52922,0.319269127569805,0.739170872430195,"SP_Tim",0.06204,0.0386467821195971,0.0854332178804029
"Wet_BFL_Dur","Wet_BFL_Dur",0.43394,0.330268195140627,0.537611804859373,"Wet_BFL_Dur",0.07596,0.0298517342247618,0.122068265775238
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.12966,0.0566125969298018,0.202707403070198,"Wet_BFL_Mag_10",0.01576,0.00999571697433237,0.0215242830256676
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.34662,0.214130698708537,0.479109301291463,"Wet_BFL_Mag_50",0.04376,0.0173895857294581,0.0701304142705419
"Wet_Tim","Wet_Tim",0.43594,0.313680784501535,0.558199215498465,"Wet_Tim",0.11564,0.0503876583347387,0.180892341665261
"DS_Dur_WS","DS_Dur_WS",0.40366,0.291921682378872,0.515398317621128,"DS_Dur_WS",0.07372,0.0109321410844421,0.136507858915558
"Q99","Q99",0.38806,0.276465054376105,0.499654945623895,"Q99",0.0362,0.02904868543553,0.0433513145644699
"FA_Dur","FA_Dur",0.0608,0.037494098933961,0.084105901066039,"FA_Dur",0.01628,0.00190042423435239,0.0306595757656476
"FA_Mag","FA_Mag",0.24002,0.185805232143815,0.294234767856185,"FA_Mag",0.0222,0.00874648804215048,0.0356535119578495
"FA_Tim","FA_Tim",0.34572,0.201195218928725,0.490244781071275,"FA_Tim",0.0884,-0.0034911881738396,0.18029118817384
