"","Dolichopodidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.30458,0.183925962621635,0.425234037378365,"DS_Tim",0.20604,0.0813902137554982,0.330689786244502
"DS_Mag_50","DS_Mag_50",0.50528,0.435616487863445,0.574943512136555,"DS_Mag_50",0.3138,0.261822708670036,0.365777291329965
"DS_Mag_90","DS_Mag_90",0.51346,0.4179082247088,0.6090117752912,"DS_Mag_90",0.37148,0.252657503572766,0.490302496427234
"SP_ROC","SP_ROC",0.15632,0.0935690438503125,0.219070956149687,"SP_ROC",0.08848,0.041988702909039,0.134971297090961
"SP_Dur","SP_Dur",0.2518,0.198350264093262,0.305249735906738,"SP_Dur",0.08764,0.0506204173065119,0.124659582693488
"SP_Mag","SP_Mag",0.5796,0.523700502341255,0.635499497658745,"SP_Mag",0.41156,0.296751119904425,0.526368880095574
"SP_Tim","SP_Tim",0.38954,0.274405104458726,0.504674895541274,"SP_Tim",0.28804,0.171009710558334,0.405070289441665
"Wet_BFL_Dur","Wet_BFL_Dur",0.40878,0.243389410023726,0.574170589976274,"Wet_BFL_Dur",0.21984,0.127002561502377,0.312677438497623
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.197,0.121226130031521,0.272773869968479,"Wet_BFL_Mag_10",0.11428,0.0389790804093336,0.189580919590666
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.3212,0.266215242171125,0.376184757828875,"Wet_BFL_Mag_50",0.19784,0.115438245596347,0.280241754403653
"Wet_Tim","Wet_Tim",0.40296,0.271792035546784,0.534127964453216,"Wet_Tim",0.24428,0.121454042705949,0.367105957294051
"DS_Dur_WS","DS_Dur_WS",0.3261,0.173440179546156,0.478759820453844,"DS_Dur_WS",0.22924,0.0884769024964285,0.370003097503572
"Q99","Q99",0.65684,0.58863390440877,0.72504609559123,"Q99",0.48244,0.374423872746705,0.590456127253295
"FA_Dur","FA_Dur",0.15474,0.0428857840857127,0.266594215914287,"FA_Dur",0.09508,0.0269160297283088,0.163243970271691
"FA_Mag","FA_Mag",0.40304,0.29523053673355,0.51084946326645,"FA_Mag",0.2376,0.156247219678735,0.318952780321265
"FA_Tim","FA_Tim",0.51002,0.412076038947263,0.607963961052737,"FA_Tim",0.34172,0.220775738709106,0.462664261290894
