"","Procladius","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.3984,0.289748093435964,0.507051906564036,"DS_Tim",0.19304,0.137061219620288,0.249018780379712
"DS_Mag_50","DS_Mag_50",0.30436,0.22089596395273,0.38782403604727,"DS_Mag_50",0.13692,0.0748953439896681,0.198944656010332
"DS_Mag_90","DS_Mag_90",0.33136,0.270494084371464,0.392225915628535,"DS_Mag_90",0.1326,0.0841800158405643,0.181019984159436
"SP_ROC","SP_ROC",0.06868,0.0411895501273624,0.0961704498726376,"SP_ROC",0.02192,0.00966282849920097,0.034177171500799
"SP_Dur","SP_Dur",0.30402,0.226753879570668,0.381286120429332,"SP_Dur",0.09716,0.0687718340359931,0.125548165964007
"SP_Mag","SP_Mag",0.25754,0.185821284288548,0.329258715711451,"SP_Mag",0.10348,0.0586591345777438,0.148300865422256
"SP_Tim","SP_Tim",0.33578,0.239092908712176,0.432467091287824,"SP_Tim",0.18372,0.116399863137394,0.251040136862606
"Wet_BFL_Dur","Wet_BFL_Dur",0.64678,0.527840620349272,0.765719379650728,"Wet_BFL_Dur",0.33592,0.261968379225334,0.409871620774666
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.09538,0.0615040492502424,0.129255950749758,"Wet_BFL_Mag_10",0.0434,0.0247931572801832,0.0620068427198168
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2531,0.155485703014364,0.350714296985636,"Wet_BFL_Mag_50",0.10256,0.0409397617109443,0.164180238289056
"Wet_Tim","Wet_Tim",0.3708,0.28590506417636,0.45569493582364,"Wet_Tim",0.12448,0.0952245295850502,0.15373547041495
"DS_Dur_WS","DS_Dur_WS",0.29316,0.214853396036477,0.371466603963523,"DS_Dur_WS",0.08156,0.0536507768506538,0.109469223149346
"Q99","Q99",0.43988,0.292924925981782,0.586835074018218,"Q99",0.28012,0.184936655589331,0.375303344410669
"FA_Dur","FA_Dur",0.1381,0.0606271802016991,0.215572819798301,"FA_Dur",0.03696,0.00947502685466111,0.0644449731453389
"FA_Mag","FA_Mag",0.38004,0.283904793440176,0.476175206559824,"FA_Mag",0.2254,0.149118975570592,0.301681024429408
"FA_Tim","FA_Tim",0.4354,0.353671437122631,0.517128562877369,"FA_Tim",0.17812,0.109353057133533,0.246886942866467
