"","Rheocricotopus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.16918,0.113678383287511,0.224681616712489,"DS_Tim",0.094,0.0629469869416831,0.125053013058317
"DS_Mag_50","DS_Mag_50",0.2138,0.130139075441399,0.297460924558601,"DS_Mag_50",0.13608,0.0825456846760884,0.189614315323912
"DS_Mag_90","DS_Mag_90",0.32984,0.278392653068404,0.381287346931596,"DS_Mag_90",0.22576,0.196205289397458,0.255314710602542
"SP_ROC","SP_ROC",0.04634,0.0190735230310185,0.0736064769689815,"SP_ROC",0.0322,0.0154066483988455,0.0489933516011545
"SP_Dur","SP_Dur",0.31848,0.220598986658801,0.416361013341199,"SP_Dur",0.18684,0.0926731824536902,0.28100681754631
"SP_Mag","SP_Mag",0.41466,0.33701413399736,0.49230586600264,"SP_Mag",0.29668,0.237289226632414,0.356070773367586
"SP_Tim","SP_Tim",0.25414,0.205749025466519,0.302530974533481,"SP_Tim",0.16576,0.108832315392245,0.222687684607755
"Wet_BFL_Dur","Wet_BFL_Dur",0.589,0.498158519529898,0.679841480470102,"Wet_BFL_Dur",0.4102,0.293239617331337,0.527160382668663
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.18284,0.120779796726888,0.244900203273112,"Wet_BFL_Mag_10",0.11684,0.0784139763077156,0.155266023692284
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.36246,0.340097911707535,0.384822088292465,"Wet_BFL_Mag_50",0.23512,0.195098870915478,0.275141129084522
"Wet_Tim","Wet_Tim",0.38244,0.275019434425712,0.489860565574288,"Wet_Tim",0.1916,0.136322613737623,0.246877386262377
"DS_Dur_WS","DS_Dur_WS",0.1768,0.0657984677876021,0.287801532212398,"DS_Dur_WS",0.12796,0.0281936799876832,0.227726320012317
"Q99","Q99",0.40738,0.355689373028565,0.459070626971435,"Q99",0.28504,0.250504808342793,0.319575191657207
"FA_Dur","FA_Dur",0.10698,0.0560045084604376,0.157955491539562,"FA_Dur",0.04844,0.0271094720927962,0.0697705279072038
"FA_Mag","FA_Mag",0.19512,0.145732516178692,0.244507483821308,"FA_Mag",0.14928,0.108814270336493,0.189745729663507
"FA_Tim","FA_Tim",0.15074,0.0986021049686507,0.202877895031349,"FA_Tim",0.0958,0.0664074326061843,0.125192567393816
