"","Polypedilum","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.14306,0.0818732956247846,0.204246704375215,"DS_Tim",0.0826,0.0328184597064334,0.132381540293567
"DS_Mag_50","DS_Mag_50",0.20732,0.104826233708093,0.309813766291907,"DS_Mag_50",0.14072,0.083090891893072,0.198349108106928
"DS_Mag_90","DS_Mag_90",0.30542,0.201537409041746,0.409302590958254,"DS_Mag_90",0.16832,0.104776517366452,0.231863482633548
"SP_ROC","SP_ROC",0.14878,0.0894460236230539,0.208113976376946,"SP_ROC",0.08416,0.0495227598847714,0.118797240115229
"SP_Dur","SP_Dur",0.1674,0.0989184460055118,0.235881553994488,"SP_Dur",0.09636,0.0365469783007078,0.156173021699292
"SP_Mag","SP_Mag",0.32022,0.239414123919111,0.401025876080889,"SP_Mag",0.2016,0.119705445223751,0.283494554776249
"SP_Tim","SP_Tim",0.24102,0.0860660920880019,0.395973907911998,"SP_Tim",0.19268,0.0217621757299725,0.363597824270028
"Wet_BFL_Dur","Wet_BFL_Dur",0.32138,0.232288732797765,0.410471267202235,"Wet_BFL_Dur",0.17752,0.100537378888479,0.254502621111521
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.27152,0.135677464287875,0.407362535712125,"Wet_BFL_Mag_10",0.17792,0.0915204354571159,0.264319564542884
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.07684,0.0532267123995832,0.100453287600417,"Wet_BFL_Mag_50",0.04032,0.0291569009141726,0.0514830990858274
"Wet_Tim","Wet_Tim",0.23468,0.066617363018427,0.402742636981573,"Wet_Tim",0.1836,0.0188920411091195,0.348307958890881
"DS_Dur_WS","DS_Dur_WS",0.28092,0.169786793370748,0.392053206629252,"DS_Dur_WS",0.2036,0.110464829800982,0.296735170199018
"Q99","Q99",0.41644,0.340658053602457,0.492221946397542,"Q99",0.25424,0.160564035501096,0.347915964498904
"FA_Dur","FA_Dur",0.1276,0.0692303657883656,0.185969634211634,"FA_Dur",0.0914,0.0508059323299574,0.131994067670043
"FA_Mag","FA_Mag",0.31276,0.237700399556086,0.387819600443914,"FA_Mag",0.18936,0.151092825779789,0.227627174220211
"FA_Tim","FA_Tim",0.19904,0.136967514426277,0.261112485573723,"FA_Tim",0.09136,0.0598289359392995,0.122891064060701
