"","Empididae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.17334,0.0688991546314374,0.277780845368563,"DS_Tim",0.07292,0.0324949940606065,0.113345005939394
"DS_Mag_50","DS_Mag_50",0.12478,0.0678744643755987,0.181685535624401,"DS_Mag_50",0.0414,0.00101894570469959,0.0817810542953004
"DS_Mag_90","DS_Mag_90",0.17474,0.134090393245445,0.215389606754555,"DS_Mag_90",0.05936,0.0352671031048568,0.0834528968951432
"SP_ROC","SP_ROC",0.2102,0.148712682352374,0.271687317647625,"SP_ROC",0.05596,0.0276690956171422,0.0842509043828577
"SP_Dur","SP_Dur",0.30316,0.260546680159837,0.345773319840163,"SP_Dur",0.0284,0.0188682719300223,0.0379317280699777
"SP_Mag","SP_Mag",0.28076,0.233566759654586,0.327953240345414,"SP_Mag",0.0818,0.0572299321938258,0.106370067806174
"SP_Tim","SP_Tim",0.25178,0.180678497700822,0.322881502299178,"SP_Tim",0.0364,0.0177989649212739,0.0550010350787261
"Wet_BFL_Dur","Wet_BFL_Dur",0.2953,0.214710714297743,0.375889285702257,"Wet_BFL_Dur",0.05348,0.0249356094617524,0.0820243905382476
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1239,0.0696101891235565,0.178189810876443,"Wet_BFL_Mag_10",0.01656,0.00805503399183747,0.0250649660081625
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.11646,0.0631392230570484,0.169780776942952,"Wet_BFL_Mag_50",0.0136,0.00895868854740387,0.0182413114525961
"Wet_Tim","Wet_Tim",0.16416,0.0506726275976045,0.277647372402396,"Wet_Tim",0.00268,0.000158903571856087,0.00520109642814391
"DS_Dur_WS","DS_Dur_WS",0.26208,0.164218514313853,0.359941485686147,"DS_Dur_WS",0.02736,0.019681714071487,0.0350382859285129
"Q99","Q99",0.30684,0.24934562913815,0.36433437086185,"Q99",0.06432,0.0462377916392936,0.0824022083607064
"FA_Dur","FA_Dur",0.50628,0.421202612142238,0.591357387857762,"FA_Dur",0.11272,0.0472112844332909,0.178228715566709
"FA_Mag","FA_Mag",0.29834,0.201166442177926,0.395513557822074,"FA_Mag",0.08648,0.0505651325326126,0.122394867467387
"FA_Tim","FA_Tim",0.29938,0.227212245059168,0.371547754940832,"FA_Tim",0.04692,0.0328448662102273,0.0609951337897727
