"","Torrenticola","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.33394,0.292734239604152,0.375145760395848,"DS_Tim",0.13376,0.0896475122125265,0.177872487787473
"DS_Mag_50","DS_Mag_50",0.21616,0.144938903699115,0.287381096300885,"DS_Mag_50",0.08744,0.0615140078531216,0.113365992146878
"DS_Mag_90","DS_Mag_90",0.23172,0.194223706080467,0.269216293919533,"DS_Mag_90",0.0756,0.0557173480642043,0.0954826519357957
"SP_ROC","SP_ROC",0.13178,0.0678463273251098,0.19571367267489,"SP_ROC",0.01432,0.00853194046333315,0.0201080595366668
"SP_Dur","SP_Dur",0.2262,0.129325011021936,0.323074988978064,"SP_Dur",0.03908,0.027098202422007,0.051061797577993
"SP_Mag","SP_Mag",0.20244,0.138470940081943,0.266409059918057,"SP_Mag",0.067,0.0355195687450124,0.0984804312549876
"SP_Tim","SP_Tim",0.31706,0.198740600883456,0.435379399116544,"SP_Tim",0.10632,0.0538665310470318,0.158773468952968
"Wet_BFL_Dur","Wet_BFL_Dur",0.3951,0.225576736591995,0.564623263408006,"Wet_BFL_Dur",0.16972,0.0675848485329365,0.271855151467063
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.2054,0.0761160790952719,0.334683920904728,"Wet_BFL_Mag_10",0.08144,0.0319706036948095,0.130909396305191
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2284,0.116593397053215,0.340206602946785,"Wet_BFL_Mag_50",0.05656,0.0320817264334267,0.0810382735665733
"Wet_Tim","Wet_Tim",0.6474,0.586591434328707,0.708208565671293,"Wet_Tim",0.3244,0.234839553808615,0.413960446191385
"DS_Dur_WS","DS_Dur_WS",0.2004,0.155115105040422,0.245684894959578,"DS_Dur_WS",0.065,0.0461555657553749,0.0838444342446251
"Q99","Q99",0.19934,0.101738287551908,0.296941712448092,"Q99",0.08656,0.0283738503525109,0.144746149647489
"FA_Dur","FA_Dur",0.23822,0.0747424638698026,0.401697536130197,"FA_Dur",0.05168,0.0185135074329528,0.0848464925670472
"FA_Mag","FA_Mag",0.07942,0.0580650095832379,0.100774990416762,"FA_Mag",0.02744,0.0180982299964086,0.0367817700035914
"FA_Tim","FA_Tim",0.21242,0.126308209421125,0.298531790578875,"FA_Tim",0.09648,0.0579859168546645,0.134974083145335
