"","Ceratopogonidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.26562,0.213022027342302,0.318217972657699,"DS_Tim",0.19268,0.127216784884945,0.258143215115055
"DS_Mag_50","DS_Mag_50",0.24624,0.173305021698776,0.319174978301224,"DS_Mag_50",0.21776,0.151496656658451,0.284023343341549
"DS_Mag_90","DS_Mag_90",0.35898,0.284002102768883,0.433957897231117,"DS_Mag_90",0.27972,0.2408044603635,0.3186355396365
"SP_ROC","SP_ROC",0.20722,0.113895802239183,0.300544197760817,"SP_ROC",0.15972,0.0756039790574946,0.243836020942505
"SP_Dur","SP_Dur",0.40652,0.293003420522815,0.520036579477185,"SP_Dur",0.29872,0.185525532815424,0.411914467184576
"SP_Mag","SP_Mag",0.48458,0.437835869639066,0.531324130360934,"SP_Mag",0.39228,0.313692963478701,0.470867036521299
"SP_Tim","SP_Tim",0.54198,0.429679518074498,0.654280481925502,"SP_Tim",0.424,0.299482120151361,0.548517879848639
"Wet_BFL_Dur","Wet_BFL_Dur",0.6034,0.567471036098991,0.639328963901009,"Wet_BFL_Dur",0.41932,0.358534967737115,0.480105032262885
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1926,0.131146263644917,0.254053736355083,"Wet_BFL_Mag_10",0.13676,0.077839485501228,0.195680514498772
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.41336,0.294880347686618,0.531839652313382,"Wet_BFL_Mag_50",0.32396,0.212122152681661,0.435797847318339
"Wet_Tim","Wet_Tim",0.26632,0.159374447225703,0.373265552774297,"Wet_Tim",0.2114,0.111882749153727,0.310917250846273
"DS_Dur_WS","DS_Dur_WS",0.18442,0.112375073213307,0.256464926786693,"DS_Dur_WS",0.11304,0.0610219637164185,0.165058036283581
"Q99","Q99",0.37828,0.298676084853193,0.457883915146807,"Q99",0.24996,0.189893738181904,0.310026261818096
"FA_Dur","FA_Dur",0.00748,0.00225116961453137,0.0127088303854686,"FA_Dur",0.02124,0.00902898764229599,0.033451012357704
"FA_Mag","FA_Mag",0.31782,0.207907476442855,0.427732523557145,"FA_Mag",0.24076,0.136315413224045,0.345204586775955
"FA_Tim","FA_Tim",0.22368,0.11697562053177,0.33038437946823,"FA_Tim",0.15128,0.075088211064446,0.227471788935554
