"","Centroptilum","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.36492,0.23963237823432,0.49020762176568,"DS_Tim",0.14824,0.0481859978271734,0.248294002172827
"DS_Mag_50","DS_Mag_50",0.19082,0.126409780506507,0.255230219493493,"DS_Mag_50",0.0588,0.0208390070993921,0.0967609929006079
"DS_Mag_90","DS_Mag_90",0.3249,0.261898022531035,0.387901977468965,"DS_Mag_90",0.09008,0.0789692891676545,0.101190710832346
"SP_ROC","SP_ROC",0.16818,0.0596323171518618,0.276727682848138,"SP_ROC",0.05756,0.013727293822991,0.101392706177009
"SP_Dur","SP_Dur",0.42154,0.341442334688831,0.501637665311169,"SP_Dur",0.13596,0.0400536079356543,0.231866392064346
"SP_Mag","SP_Mag",0.39996,0.291081390258233,0.508838609741767,"SP_Mag",0.1064,0.0132523016924197,0.19954769830758
"SP_Tim","SP_Tim",0.4172,0.242425925865705,0.591974074134295,"SP_Tim",0.15876,0.100230227107907,0.217289772892093
"Wet_BFL_Dur","Wet_BFL_Dur",0.4242,0.282588749572995,0.565811250427005,"Wet_BFL_Dur",0.12408,0.00981543341350302,0.238344566586497
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.23772,0.192552890792082,0.282887109207918,"Wet_BFL_Mag_10",0.0734,0.0383723679076076,0.108427632092392
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.3086,0.175438373155026,0.441761626844974,"Wet_BFL_Mag_50",0.12196,0.0371667097890405,0.20675329021096
"Wet_Tim","Wet_Tim",0.56334,0.432835536523458,0.693844463476542,"Wet_Tim",0.2262,0.156081941655519,0.296318058344481
"DS_Dur_WS","DS_Dur_WS",0.28758,0.230540365107234,0.344619634892766,"DS_Dur_WS",0.07136,0.0216530610196122,0.121066938980388
"Q99","Q99",0.42536,0.272040649785163,0.578679350214838,"Q99",0.21812,0.0841969562651745,0.352043043734826
"FA_Dur","FA_Dur",0.13398,0.0873399606057199,0.18062003939428,"FA_Dur",0.03148,0.0172604397677003,0.0456995602322997
"FA_Mag","FA_Mag",0.2262,0.150218764971212,0.302181235028789,"FA_Mag",0.09928,0.0393829323322085,0.159177067667792
"FA_Tim","FA_Tim",0.33332,0.155409945997423,0.511230054002577,"FA_Tim",0.0518,0.00446518841275483,0.0991348115872452
