"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.789,0.578,0.518,1,0.578,1,"Corynoneura","glm"
"2",2,0.683,0.365,0.332,0.9,0.465,1,"Corynoneura","glm"
"3",3,0.881,0.59,0.584,0.741,0.849,0.358807718198406,"Corynoneura","glm"
"4",4,0.729,0.458,0.494,0.5,0.958,1,"Corynoneura","glm"
"5",5,0.795,0.59,0.546,0.968,0.622,1,"Corynoneura","glm"
"6",6,0.952,0.823,0.82,0.912,0.911,0.580313928007233,"Corynoneura","glm"
"7",7,0.705,0.41,0.371,0.968,0.442,1,"Corynoneura","glm"
"8",8,0.886,0.644,0.635,0.824,0.82,0.416199233931607,"Corynoneura","glm"
"9",9,0.876,0.612,0.583,1,0.612,0.316163434174398,"Corynoneura","glm"
"10",10,0.72,0.44,0.4,0.909,0.531,1,"Corynoneura","glm"
"11",11,0.967,0.832,0.807,0.966,0.867,0.571428571428571,"Corynoneura","tree"
"12",12,0.964,0.774,0.774,0.867,0.907,0.571428571428571,"Corynoneura","tree"
"13",13,0.904,0.642,0.561,0.963,0.679,0.4,"Corynoneura","tree"
"14",14,0.973,0.823,0.798,0.969,0.854,0.4,"Corynoneura","tree"
"15",15,0.941,0.713,0.686,0.935,0.778,0.428571428571429,"Corynoneura","tree"
"16",16,0.949,0.748,0.725,0.971,0.778,0.5,"Corynoneura","tree"
"17",17,0.969,0.819,0.808,0.935,0.884,0.6,"Corynoneura","tree"
"18",18,0.937,0.712,0.689,0.912,0.8,0.428571428571429,"Corynoneura","tree"
"19",19,0.941,0.703,0.701,0.846,0.857,0.5,"Corynoneura","tree"
"20",20,0.965,0.806,0.779,0.97,0.837,0.5,"Corynoneura","tree"
"21",21,0.954,0.805,0.826,0.828,0.978,0.460903520255194,"Corynoneura","brt"
"22",22,0.872,0.66,0.66,0.8,0.86,0.433509835872832,"Corynoneura","brt"
"23",23,0.877,0.665,0.665,0.778,0.887,0.398646666855094,"Corynoneura","brt"
"24",24,0.97,0.854,0.845,0.938,0.917,0.425663264575188,"Corynoneura","brt"
"25",25,0.913,0.681,0.658,0.903,0.778,0.376666367034457,"Corynoneura","brt"
"26",26,0.874,0.625,0.651,0.647,0.978,0.555123494343772,"Corynoneura","brt"
"27",27,0.94,0.744,0.709,1,0.744,0.406930393301179,"Corynoneura","brt"
"28",28,0.921,0.713,0.706,0.853,0.86,0.389256035209013,"Corynoneura","brt"
"29",29,0.918,0.683,0.679,0.846,0.837,0.479033526935702,"Corynoneura","brt"
"30",30,0.933,0.797,0.797,0.879,0.918,0.480448666888649,"Corynoneura","brt"
"31",31,0.92,0.788,0.755,0.966,0.822,0.53161231600705,"Corynoneura","fda"
"32",32,0.776,0.528,0.495,0.9,0.628,0.398916195337522,"Corynoneura","fda"
"33",33,0.843,0.57,0.545,0.778,0.792,0.349540547759732,"Corynoneura","fda"
"34",34,0.93,0.708,0.694,0.875,0.833,0.63624816498471,"Corynoneura","fda"
"35",35,0.852,0.602,0.565,0.935,0.667,0.37507890343374,"Corynoneura","fda"
"36",36,0.808,0.549,0.528,0.882,0.667,0.521671495658467,"Corynoneura","fda"
"37",37,0.83,0.61,0.579,0.935,0.674,0.551028841696991,"Corynoneura","fda"
"38",38,0.833,0.572,0.536,0.912,0.66,0.405213053776083,"Corynoneura","fda"
"39",39,0.813,0.55,0.532,0.897,0.653,0.512186380774564,"Corynoneura","fda"
"40",40,0.839,0.583,0.561,0.848,0.735,0.529720611747348,"Corynoneura","fda"
"41",41,0.896,0.687,0.651,0.931,0.756,0.532735109329224,"Corynoneura","rbf"
"42",42,0.783,0.484,0.461,0.833,0.651,0.414784491062164,"Corynoneura","rbf"
"43",43,0.792,0.494,0.445,0.815,0.679,0.381582856178284,"Corynoneura","rbf"
"44",44,0.926,0.698,0.673,0.906,0.792,0.562326192855835,"Corynoneura","rbf"
"45",45,0.832,0.54,0.524,0.806,0.733,0.471325516700745,"Corynoneura","rbf"
"46",46,0.822,0.519,0.489,0.941,0.578,0.439490675926208,"Corynoneura","rbf"
"47",47,0.899,0.731,0.725,0.871,0.86,0.487315505743027,"Corynoneura","rbf"
"48",48,0.851,0.584,0.568,0.824,0.76,0.46584689617157,"Corynoneura","rbf"
"49",49,0.829,0.56,0.549,0.846,0.714,0.520486056804657,"Corynoneura","rbf"
"50",50,0.817,0.542,0.517,0.848,0.694,0.434597343206406,"Corynoneura","rbf"
