"","Tricorythodes","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.13234,0.075243007826156,0.189436992173844,"DS_Tim",0.073,0.0541183982141345,0.0918816017858655
"DS_Mag_50","DS_Mag_50",0.14652,0.0504064569079882,0.242633543092012,"DS_Mag_50",0.08888,0.0362146139936296,0.14154538600637
"DS_Mag_90","DS_Mag_90",0.2766,0.195739651268375,0.357460348731625,"DS_Mag_90",0.2058,0.137597878845303,0.274002121154697
"SP_ROC","SP_ROC",0.1338,0.102935989469934,0.164664010530066,"SP_ROC",0.08276,0.0566896606312845,0.108830339368716
"SP_Dur","SP_Dur",0.2798,0.244673373311688,0.314926626688312,"SP_Dur",0.15084,0.118152526393127,0.183527473606873
"SP_Mag","SP_Mag",0.18282,0.12469214655004,0.24094785344996,"SP_Mag",0.11728,0.0889692264464568,0.145590773553543
"SP_Tim","SP_Tim",0.27942,0.205121800730435,0.353718199269565,"SP_Tim",0.14584,0.107994397100852,0.183685602899148
"Wet_BFL_Dur","Wet_BFL_Dur",0.4395,0.285407460837651,0.593592539162349,"Wet_BFL_Dur",0.29764,0.178520236078139,0.416759763921861
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.12402,0.0482583825628043,0.199781617437196,"Wet_BFL_Mag_10",0.09148,0.0405533403294502,0.14240665967055
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.07966,0.0535066981185931,0.105813301881407,"Wet_BFL_Mag_50",0.06296,0.0426603461408821,0.0832596538591179
"Wet_Tim","Wet_Tim",0.188,0.100399894543442,0.275600105456558,"Wet_Tim",0.11676,0.056100517338177,0.177419482661823
"DS_Dur_WS","DS_Dur_WS",0.19918,0.0961353976027856,0.302224602397214,"DS_Dur_WS",0.10932,0.0416196025772374,0.177020397422763
"Q99","Q99",0.19922,0.119840790960731,0.278599209039269,"Q99",0.13004,0.0694791953917387,0.190600804608261
"FA_Dur","FA_Dur",0.09988,0.0284403408133829,0.171319659186617,"FA_Dur",0.05744,0.0125977764289058,0.102282223571094
"FA_Mag","FA_Mag",0.14304,0.0532175428008118,0.232862457199188,"FA_Mag",0.08468,0.0271155891439859,0.142244410856014
"FA_Tim","FA_Tim",0.27726,0.144380963761021,0.410139036238979,"FA_Tim",0.12732,0.0828706742098375,0.171769325790162
