"","Euparyphus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.3152,0.20103469505362,0.42936530494638,"DS_Tim",0.2618,0.15388864932733,0.36971135067267
"DS_Mag_50","DS_Mag_50",0.25906,0.180292316345471,0.337827683654529,"DS_Mag_50",0.15352,0.0784552752672735,0.228584724732726
"DS_Mag_90","DS_Mag_90",0.35922,0.272628172408131,0.445811827591869,"DS_Mag_90",0.26696,0.170768609320792,0.363151390679208
"SP_ROC","SP_ROC",0.12726,0.0499619090513873,0.204558090948613,"SP_ROC",0.09392,0.0350721383124246,0.152767861687575
"SP_Dur","SP_Dur",0.5677,0.508355274842662,0.627044725157338,"SP_Dur",0.3286,0.227040339395998,0.430159660604002
"SP_Mag","SP_Mag",0.5644,0.494914008929857,0.633885991070143,"SP_Mag",0.394,0.277399148630896,0.510600851369104
"SP_Tim","SP_Tim",0.15884,0.103379320182674,0.214300679817326,"SP_Tim",0.104,0.0623715079062429,0.145628492093757
"Wet_BFL_Dur","Wet_BFL_Dur",0.28668,0.154561795125728,0.418798204874272,"Wet_BFL_Dur",0.13668,0.0891955059077176,0.184164494092282
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.23938,0.164825872809079,0.313934127190921,"Wet_BFL_Mag_10",0.14392,0.0879858357244877,0.199854164275512
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2435,0.150644360028591,0.336355639971409,"Wet_BFL_Mag_50",0.16764,0.0918483750616204,0.24343162493838
"Wet_Tim","Wet_Tim",0.28424,0.154003066934529,0.414476933065471,"Wet_Tim",0.18004,0.0783285717787819,0.281751428221218
"DS_Dur_WS","DS_Dur_WS",0.10872,0.00971110513342753,0.207728894866572,"DS_Dur_WS",0.07336,-0.000404691789500491,0.1471246917895
"Q99","Q99",0.55256,0.436780586642961,0.668339413357039,"Q99",0.3932,0.256401775779069,0.529998224220931
"FA_Dur","FA_Dur",0.01726,0.00906105386040377,0.0254589461395962,"FA_Dur",0.01716,0.00810403639583286,0.0262159636041671
"FA_Mag","FA_Mag",0.43236,0.399650497851542,0.465069502148458,"FA_Mag",0.28312,0.209659321584946,0.356580678415054
"FA_Tim","FA_Tim",0.42016,0.284950794502371,0.555369205497629,"FA_Tim",0.19448,0.1237341604248,0.2652258395752
