"","Chironomidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.29966,0.16106033803324,0.438259661966759,"DS_Tim",0.16372,0.0898843454881045,0.237555654511896
"DS_Mag_50","DS_Mag_50",0.21726,0.160970466485323,0.273549533514677,"DS_Mag_50",0.14216,0.0953454605191934,0.188974539480807
"DS_Mag_90","DS_Mag_90",0.41864,0.321854886680337,0.515425113319663,"DS_Mag_90",0.277,0.211239334629279,0.342760665370721
"SP_ROC","SP_ROC",0.26716,0.191717720035116,0.342602279964884,"SP_ROC",0.18276,0.13390965894899,0.23161034105101
"SP_Dur","SP_Dur",0.24592,0.135019471152298,0.356820528847702,"SP_Dur",0.15852,0.079597058182047,0.237442941817953
"SP_Mag","SP_Mag",0.4753,0.397709393516354,0.552890606483646,"SP_Mag",0.3408,0.277273734613154,0.404326265386846
"SP_Tim","SP_Tim",0.33388,0.236029672094571,0.431730327905429,"SP_Tim",0.23788,0.161636233033775,0.314123766966225
"Wet_BFL_Dur","Wet_BFL_Dur",0.51788,0.429736086082475,0.606023913917525,"Wet_BFL_Dur",0.31364,0.235612722482455,0.391667277517545
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.26066,0.189364978109969,0.331955021890031,"Wet_BFL_Mag_10",0.1848,0.130721578943168,0.238878421056832
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.17552,0.103207102207144,0.247832897792856,"Wet_BFL_Mag_50",0.11796,0.0644263663964419,0.171493633603558
"Wet_Tim","Wet_Tim",0.29412,0.151910284889885,0.436329715110115,"Wet_Tim",0.16468,0.0621296467036802,0.26723035329632
"DS_Dur_WS","DS_Dur_WS",0.10576,0.063391153251475,0.148128846748525,"DS_Dur_WS",0.05104,0.0291036024197226,0.0729763975802774
"Q99","Q99",0.3566,0.292464137906316,0.420735862093684,"Q99",0.23312,0.175996986133433,0.290243013866567
"FA_Dur","FA_Dur",0.09694,0.0488653111419325,0.145014688858068,"FA_Dur",0.04668,0.0345771785438271,0.0587828214561729
"FA_Mag","FA_Mag",0.33392,0.267599858510404,0.400240141489596,"FA_Mag",0.20608,0.152040503784732,0.260119496215268
"FA_Tim","FA_Tim",0.28312,0.132791516126517,0.433448483873483,"FA_Tim",0.19788,0.0908457252783016,0.304914274721698
