"","Orthocladiinae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.37456,0.28808703151678,0.46103296848322,"DS_Tim",0.18136,0.133610039279597,0.229109960720403
"DS_Mag_50","DS_Mag_50",0.27986,0.253587028864249,0.306132971135751,"DS_Mag_50",0.1336,0.107923532447005,0.159276467552995
"DS_Mag_90","DS_Mag_90",0.23756,0.17444046213493,0.30067953786507,"DS_Mag_90",0.13524,0.0891171040067951,0.181362895993205
"SP_ROC","SP_ROC",0.14776,0.100749541984788,0.194770458015212,"SP_ROC",0.09208,0.0451903743115815,0.138969625688419
"SP_Dur","SP_Dur",0.16474,0.0759330280479061,0.253546971952094,"SP_Dur",0.09172,0.0416529518825006,0.141787048117499
"SP_Mag","SP_Mag",0.40116,0.238709286024037,0.563610713975963,"SP_Mag",0.24176,0.116657378465517,0.366862621534483
"SP_Tim","SP_Tim",0.46468,0.420448000992494,0.508911999007506,"SP_Tim",0.20488,0.152045292437641,0.257714707562359
"Wet_BFL_Dur","Wet_BFL_Dur",0.40934,0.276101964657985,0.542578035342015,"Wet_BFL_Dur",0.21488,0.139387660566121,0.290372339433879
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.14656,0.0765251517542873,0.216594848245713,"Wet_BFL_Mag_10",0.08836,0.0336215212231834,0.143098478776817
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.29754,0.207255391761386,0.387824608238614,"Wet_BFL_Mag_50",0.16944,0.102250246593696,0.236629753406304
"Wet_Tim","Wet_Tim",0.09498,0.0482981780700453,0.141661821929955,"Wet_Tim",0.05388,0.0211671801704592,0.0865928198295408
"DS_Dur_WS","DS_Dur_WS",0.18404,0.0793323850940152,0.288747614905985,"DS_Dur_WS",0.08748,0.0215863638793548,0.153373636120645
"Q99","Q99",0.3572,0.246162778069694,0.468237221930306,"Q99",0.21208,0.129447733098988,0.294712266901011
"FA_Dur","FA_Dur",0.27766,0.167827985968116,0.387492014031884,"FA_Dur",0.12072,0.0519333329692447,0.189506667030755
"FA_Mag","FA_Mag",0.43802,0.306032156166941,0.570007843833059,"FA_Mag",0.18824,0.129030341541265,0.247449658458735
"FA_Tim","FA_Tim",0.3055,0.191835857463754,0.419164142536246,"FA_Tim",0.10008,0.0593474933351752,0.140812506664825
