"","Oligochaeta","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.42095,0.234730072250578,0.607169927749422,"DS_Tim",0.1762,0.0463479167462711,0.306052083253729
"DS_Mag_50","DS_Mag_50",0.45395,0.316493395379972,0.591406604620028,"DS_Mag_50",0.17165,0.0974100839911574,0.245889916008843
"DS_Mag_90","DS_Mag_90",0.371,0.225682648177629,0.516317351822371,"DS_Mag_90",0.1106,0.072368024098494,0.148831975901506
"SP_ROC","SP_ROC",0.0859,0.0360395203593066,0.135760479640693,"SP_ROC",0.01955,0.00628499014951993,0.0328150098504801
"SP_Dur","SP_Dur",0.706975,0.667079101402316,0.746870898597684,"SP_Dur",0.1282,0.0738180348277115,0.182581965172288
"SP_Mag","SP_Mag",0.47075,0.359840216510595,0.581659783489405,"SP_Mag",0.15015,0.107471150019399,0.192828849980601
"SP_Tim","SP_Tim",0.53315,0.461998473572242,0.604301526427758,"SP_Tim",0.073,0.0343738249369679,0.111626175063032
"Wet_BFL_Dur","Wet_BFL_Dur",0.5617,0.442987059093515,0.680412940906485,"Wet_BFL_Dur",0.18375,0.0594789058938752,0.308021094106125
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.176725,0.118618748865405,0.234831251134595,"Wet_BFL_Mag_10",0.03315,0.0182892066272804,0.0480107933727196
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.40415,0.254776815861525,0.553523184138475,"Wet_BFL_Mag_50",0.1063,0.0544583087595836,0.158141691240416
"Wet_Tim","Wet_Tim",0.380075,0.240463435186825,0.519686564813175,"Wet_Tim",0.06975,0.0479251887751578,0.0915748112248422
"DS_Dur_WS","DS_Dur_WS",0.441525,0.293823451230474,0.589226548769526,"DS_Dur_WS",0.1398,0.0740750888018858,0.205524911198114
"Q99","Q99",0.506025,0.356476002583601,0.655573997416399,"Q99",0.23085,0.0984528251321049,0.363247174867895
"FA_Dur","FA_Dur",0.25865,0.152894744188921,0.364405255811079,"FA_Dur",0.04805,0.0139342331123374,0.0821657668876626
"FA_Mag","FA_Mag",0.3099,0.1816126658863,0.4381873341137,"FA_Mag",0.075,0.0350561328862615,0.114943867113738
"FA_Tim","FA_Tim",0.578725,0.522088780414679,0.635361219585321,"FA_Tim",0.15835,0.0968235647411077,0.219876435258892
