"","Tipula","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.26932,0.146967081437752,0.391672918562248,"DS_Tim",0.1432,0.0762479233779862,0.210152076622014
"DS_Mag_50","DS_Mag_50",0.30906,0.223635926204611,0.394484073795389,"DS_Mag_50",0.14792,0.0883354922719001,0.2075045077281
"DS_Mag_90","DS_Mag_90",0.32716,0.208285961624079,0.446034038375921,"DS_Mag_90",0.15656,0.0537662355062332,0.259353764493767
"SP_ROC","SP_ROC",0.14124,0.0660398403239727,0.216440159676027,"SP_ROC",0.085,0.0446302444149088,0.125369755585091
"SP_Dur","SP_Dur",0.40204,0.30484313880428,0.49923686119572,"SP_Dur",0.17536,0.114002866015434,0.236717133984566
"SP_Mag","SP_Mag",0.45682,0.38478124719847,0.52885875280153,"SP_Mag",0.21672,0.152422379988059,0.281017620011941
"SP_Tim","SP_Tim",0.33688,0.262933712150643,0.410826287849357,"SP_Tim",0.15372,0.110492245545252,0.196947754454748
"Wet_BFL_Dur","Wet_BFL_Dur",0.47014,0.326368849581009,0.61391115041899,"Wet_BFL_Dur",0.19344,0.129527378235594,0.257352621764406
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.16682,0.0795822503173082,0.254057749682692,"Wet_BFL_Mag_10",0.07972,0.0256188250663629,0.133821174933637
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.26848,0.200469064381528,0.336490935618472,"Wet_BFL_Mag_50",0.13384,0.0708021751104942,0.196877824889506
"Wet_Tim","Wet_Tim",0.32104,0.20276323809894,0.43931676190106,"Wet_Tim",0.15148,0.0864129223247271,0.216547077675273
"DS_Dur_WS","DS_Dur_WS",0.24208,0.163967864481887,0.320192135518113,"DS_Dur_WS",0.10748,0.070559964826669,0.144400035173331
"Q99","Q99",0.27834,0.215806029909336,0.340873970090664,"Q99",0.13028,0.0996018830238882,0.160958116976112
"FA_Dur","FA_Dur",0.04342,0.030437616678745,0.056402383321255,"FA_Dur",0.01484,0.0122935081386346,0.0173864918613654
"FA_Mag","FA_Mag",0.32448,0.194380504258471,0.454579495741529,"FA_Mag",0.18812,0.100260811014442,0.275979188985558
"FA_Tim","FA_Tim",0.52498,0.365439614091917,0.684520385908083,"FA_Tim",0.3098,0.196402269405424,0.423197730594576
