"","Baetidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.21452,0.10198881746067,0.32705118253933,"DS_Tim",0.09368,0.0425357068950992,0.144824293104901
"DS_Mag_50","DS_Mag_50",0.17494,0.11428223916266,0.235597760837341,"DS_Mag_50",0.04632,0.0202636447061374,0.0723763552938626
"DS_Mag_90","DS_Mag_90",0.27354,0.160459445943168,0.386620554056832,"DS_Mag_90",0.09644,0.0434489795078449,0.149431020492155
"SP_ROC","SP_ROC",0.34158,0.186484711115392,0.496675288884608,"SP_ROC",0.06492,0.034309342718589,0.095530657281411
"SP_Dur","SP_Dur",0.51592,0.377565159762298,0.654274840237702,"SP_Dur",0.14356,0.110754040742572,0.176365959257428
"SP_Mag","SP_Mag",0.2443,0.13147505534679,0.35712494465321,"SP_Mag",0.0892,0.05173688024203,0.12666311975797
"SP_Tim","SP_Tim",0.29486,0.217644810242414,0.372075189757586,"SP_Tim",0.07112,0.0386744066289427,0.103565593371057
"Wet_BFL_Dur","Wet_BFL_Dur",0.25662,0.154996502007656,0.358243497992344,"Wet_BFL_Dur",0.03048,0.0143116928158821,0.0466483071841179
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.23794,0.103597603349501,0.372282396650499,"Wet_BFL_Mag_10",0.0456,0.0130589085309051,0.0781410914690949
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2058,0.102343018261212,0.309256981738788,"Wet_BFL_Mag_50",0.03816,0.0160121734520066,0.0603078265479934
"Wet_Tim","Wet_Tim",0.36424,0.2887902095543,0.4396897904457,"Wet_Tim",0.10968,0.0474393289464196,0.17192067105358
"DS_Dur_WS","DS_Dur_WS",0.1438,0.0412776663940973,0.246322333605903,"DS_Dur_WS",0.03604,0.0139899564444875,0.0580900435555125
"Q99","Q99",0.37406,0.311998268560247,0.436121731439753,"Q99",0.05128,0.0316586231573827,0.0709013768426173
"FA_Dur","FA_Dur",0.10378,0.0450040210315472,0.162555978968453,"FA_Dur",0.01892,0.0117708345102383,0.0260691654897617
"FA_Mag","FA_Mag",0.2139,0.119658113890373,0.308141886109628,"FA_Mag",0.04612,0.0344276512539182,0.0578123487460818
"FA_Tim","FA_Tim",0.20774,0.144455455699673,0.271024544300327,"FA_Tim",0.05848,0.0191247569033045,0.0978352430966955
