"","modelID","AUC","TSS","Kappa","sensitivity","specificity","threshold","taxa","model"
"1",1,0.667,0.333,0.422,0.333,1,1,"Lebertia","glm"
"2",2,0.883,0.766,0.609,1,0.766,1,"Lebertia","glm"
"3",3,0.7,0.4,0.479,0.417,0.984,1,"Lebertia","glm"
"4",4,0.839,0.677,0.496,1,0.677,1,"Lebertia","glm"
"5",5,0.945,0.802,0.745,0.963,0.839,0.46233210070535,"Lebertia","glm"
"6",6,0.673,0.346,0.409,0.346,1,1,"Lebertia","glm"
"7",7,0.8,0.6,0.497,1,0.6,1,"Lebertia","glm"
"8",8,0.54,0.08,0.112,0.08,1,1,"Lebertia","glm"
"9",9,0.638,0.276,0.328,0.276,1,1,"Lebertia","glm"
"10",10,0.693,0.385,0.427,0.429,0.957,1,"Lebertia","glm"
"11",11,0.976,0.842,0.742,1,0.842,0.285714285714286,"Lebertia","tree"
"12",12,0.959,0.788,0.774,0.85,0.938,0.6,"Lebertia","tree"
"13",13,0.933,0.711,0.653,0.875,0.836,0.333333333333333,"Lebertia","tree"
"14",14,0.978,0.887,0.787,1,0.887,0.333333333333333,"Lebertia","tree"
"15",15,0.963,0.804,0.727,1,0.804,0.333333333333333,"Lebertia","tree"
"16",16,0.95,0.846,0.878,0.846,1,1,"Lebertia","tree"
"17",17,0.967,0.799,0.763,0.926,0.873,0.333333333333333,"Lebertia","tree"
"18",18,0.967,0.845,0.815,0.92,0.925,0.571428571428571,"Lebertia","tree"
"19",19,0.961,0.831,0.795,0.966,0.865,0.4,"Lebertia","tree"
"20",20,0.962,0.806,0.8,0.893,0.913,0.6,"Lebertia","tree"
"21",21,0.966,0.852,0.84,0.905,0.947,0.434234781333897,"Lebertia","brt"
"22",22,0.936,0.75,0.588,1,0.75,0.223582835154614,"Lebertia","brt"
"23",23,0.918,0.684,0.702,0.75,0.934,0.392293484835682,"Lebertia","brt"
"24",24,0.943,0.798,0.744,0.895,0.903,0.352127311742732,"Lebertia","brt"
"25",25,0.927,0.732,0.64,1,0.732,0.311402909839058,"Lebertia","brt"
"26",26,0.968,0.846,0.878,0.846,1,0.466773302936848,"Lebertia","brt"
"27",27,0.94,0.871,0.863,0.926,0.945,0.415243795429531,"Lebertia","brt"
"28",28,0.935,0.741,0.658,0.92,0.821,0.308034465077565,"Lebertia","brt"
"29",29,0.962,0.85,0.819,0.966,0.885,0.438430040016994,"Lebertia","brt"
"30",30,0.967,0.921,0.914,0.964,0.957,0.412457936403587,"Lebertia","brt"
"31",31,0.921,0.825,0.717,1,0.825,0.369038223864084,"Lebertia","fda"
"32",32,0.933,0.812,0.674,1,0.812,0.452313956028538,"Lebertia","fda"
"33",33,0.886,0.754,0.634,1,0.754,0.364211043373026,"Lebertia","fda"
"34",34,0.854,0.71,0.534,1,0.71,0.404385765640187,"Lebertia","fda"
"35",35,0.856,0.679,0.579,1,0.679,0.325285308459524,"Lebertia","fda"
"36",36,0.843,0.676,0.605,0.962,0.714,0.518324992569868,"Lebertia","fda"
"37",37,0.793,0.582,0.478,1,0.582,0.316927014439237,"Lebertia","fda"
"38",38,0.84,0.602,0.467,0.96,0.642,0.339020894111487,"Lebertia","fda"
"39",39,0.878,0.615,0.534,1,0.615,0.356610931301949,"Lebertia","fda"
"40",40,0.909,0.783,0.731,1,0.783,0.39729427911128,"Lebertia","fda"
"41",41,0.897,0.759,0.66,0.952,0.807,0.391102373600006,"Lebertia","rbf"
"42",42,0.902,0.731,0.598,0.95,0.781,0.363473892211914,"Lebertia","rbf"
"43",43,0.837,0.613,0.526,0.875,0.738,0.394915759563446,"Lebertia","rbf"
"44",44,0.894,0.738,0.605,0.947,0.79,0.419143348932266,"Lebertia","rbf"
"45",45,0.853,0.679,0.579,1,0.679,0.468891441822052,"Lebertia","rbf"
"46",46,0.855,0.676,0.605,0.962,0.714,0.46177738904953,"Lebertia","rbf"
"47",47,0.76,0.509,0.406,1,0.509,0.351934492588043,"Lebertia","rbf"
"48",48,0.894,0.726,0.638,0.92,0.806,0.394917130470276,"Lebertia","rbf"
"49",49,0.891,0.654,0.575,1,0.654,0.403504073619843,"Lebertia","rbf"
"50",50,0.901,0.741,0.721,0.893,0.848,0.448876917362213,"Lebertia","rbf"
