"","Tinodes","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.25085,0.129930293642158,0.371769706357842,"DS_Tim",0.16275,0.0631077439787718,0.262392256021228
"DS_Mag_50","DS_Mag_50",0.1654,0.121108390704333,0.209691609295667,"DS_Mag_50",0.06075,0.0356208972769287,0.0858791027230713
"DS_Mag_90","DS_Mag_90",0.3168,0.209109957139328,0.424490042860672,"DS_Mag_90",0.14965,0.10180683392932,0.19749316607068
"SP_ROC","SP_ROC",0.127025,0.0739798595730328,0.180070140426967,"SP_ROC",0.0498,0.0294211833513327,0.0701788166486673
"SP_Dur","SP_Dur",0.18295,0.095746174252502,0.270153825747498,"SP_Dur",0.11625,0.0585667873669759,0.173933212633024
"SP_Mag","SP_Mag",0.23955,0.178985240161185,0.300114759838815,"SP_Mag",0.0955,0.0724957306860951,0.118504269313905
"SP_Tim","SP_Tim",0.18085,0.133811794999526,0.227888205000475,"SP_Tim",0.1172,0.0768558863773165,0.157544113622684
"Wet_BFL_Dur","Wet_BFL_Dur",0.460875,0.313629908277899,0.608120091722101,"Wet_BFL_Dur",0.25295,0.145222146945803,0.360677853054197
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.100425,0.0150331832438455,0.185816816756154,"Wet_BFL_Mag_10",0.07315,0.0169473417621551,0.129352658237845
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.113025,0.0571919081256465,0.168858091874353,"Wet_BFL_Mag_50",0.07385,0.0311271419378338,0.116572858062166
"Wet_Tim","Wet_Tim",0.307125,0.148904911133521,0.465345088866479,"Wet_Tim",0.2074,0.0881625766911523,0.326637423308848
"DS_Dur_WS","DS_Dur_WS",0.07065,0.0521960292529404,0.0891039707470597,"DS_Dur_WS",0.0388,0.0285945025272324,0.0490054974727676
"Q99","Q99",0.414975,0.264002814609501,0.565947185390499,"Q99",0.30215,0.164428037458315,0.439871962541685
"FA_Dur","FA_Dur",0.19415,0.106557418539011,0.281742581460989,"FA_Dur",0.0982,0.0542865947574092,0.142113405242591
"FA_Mag","FA_Mag",0.1298,0.0445336452559784,0.215066354744022,"FA_Mag",0.0521,0.0285429389212774,0.0756570610787226
"FA_Tim","FA_Tim",0.166075,0.12090301689561,0.21124698310439,"FA_Tim",0.06875,0.0433733136192554,0.0941266863807446
