"","Hemerodromia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.40568,0.285894524433469,0.525465475566531,"DS_Tim",0.3118,0.188001308480259,0.435598691519741
"DS_Mag_50","DS_Mag_50",0.35154,0.279435791559715,0.423644208440284,"DS_Mag_50",0.22616,0.140209295681769,0.312110704318231
"DS_Mag_90","DS_Mag_90",0.56382,0.514814213441676,0.612825786558324,"DS_Mag_90",0.385,0.326942795037997,0.443057204962003
"SP_ROC","SP_ROC",0.1236,0.0653637628318931,0.181836237168107,"SP_ROC",0.05484,0.0305026909704462,0.0791773090295538
"SP_Dur","SP_Dur",0.56108,0.501688862789133,0.620471137210867,"SP_Dur",0.34476,0.252700581835425,0.436819418164575
"SP_Mag","SP_Mag",0.30046,0.229033338512149,0.371886661487851,"SP_Mag",0.18984,0.125112190699824,0.254567809300176
"SP_Tim","SP_Tim",0.26952,0.17707585147128,0.36196414852872,"SP_Tim",0.1902,0.121116186092544,0.259283813907456
"Wet_BFL_Dur","Wet_BFL_Dur",0.22698,0.128955267920795,0.325004732079205,"Wet_BFL_Dur",0.13036,0.0653321297227104,0.19538787027729
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.09086,0.0595671674772001,0.1221528325228,"Wet_BFL_Mag_10",0.06052,0.0387176318442239,0.0823223681557761
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.1473,0.0753245289734065,0.219275471026594,"Wet_BFL_Mag_50",0.10236,0.0530555094661754,0.151664490533825
"Wet_Tim","Wet_Tim",0.1708,0.111748595782996,0.229851404217004,"Wet_Tim",0.09368,0.0401756975636538,0.147184302436346
"DS_Dur_WS","DS_Dur_WS",0.17842,0.0993240928448254,0.257515907155175,"DS_Dur_WS",0.09876,0.0481271640454537,0.149392835954546
"Q99","Q99",0.2948,0.258180539176553,0.331419460823447,"Q99",0.2182,0.169766728357461,0.266633271642539
"FA_Dur","FA_Dur",0.13874,0.0455699782531956,0.231910021746804,"FA_Dur",0.06556,0.00502350333228722,0.126096496667713
"FA_Mag","FA_Mag",0.40964,0.292931614228882,0.526348385771118,"FA_Mag",0.30628,0.188111146492826,0.424448853507174
"FA_Tim","FA_Tim",0.33684,0.262081144652958,0.411598855347042,"FA_Tim",0.14756,0.108449686848607,0.186670313151393
