"","Drunella flavilinea","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.396466666666667,0.379969935313658,0.412963398019675,"DS_Tim",0.047,0.0372530636608214,0.0567469363391786
"DS_Mag_50","DS_Mag_50",0.234633333333333,0.159761969352614,0.309504697314053,"DS_Mag_50",0.0344,0.0103504326026433,0.0584495673973567
"DS_Mag_90","DS_Mag_90",0.377933333333333,0.270879094438587,0.484987572228079,"DS_Mag_90",0.0196666666666667,0.00925634787551846,0.0300769854578149
"SP_ROC","SP_ROC",0.0498,0.00753449619370426,0.0920655038062957,"SP_ROC",0.00186666666666667,0.000282417528010333,0.003450915805323
"SP_Dur","SP_Dur",0.6018,0.575981184399744,0.627618815600256,"SP_Dur",0.0852666666666667,0.0696107768697457,0.100922556463588
"SP_Mag","SP_Mag",0.370966666666667,0.348877809422949,0.393055523910384,"SP_Mag",0.0444,0.0337504161583656,0.0550495838416344
"SP_Tim","SP_Tim",0.4279,0.311226040424609,0.544573959575391,"SP_Tim",0.0267333333333333,0.0188175454803566,0.03464912118631
"Wet_BFL_Dur","Wet_BFL_Dur",0.299966666666667,0.19375952743237,0.406173805900964,"Wet_BFL_Dur",0.0248,0.0162988177292802,0.0333011822707198
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.0381333333333333,0.0170755108833901,0.0591911557832766,"Wet_BFL_Mag_10",0.01,0.0015129510429125,0.0184870489570875
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.257033333333333,0.145842569034614,0.368224097632053,"Wet_BFL_Mag_50",0.0283333333333333,0.0173100393912608,0.0393566272754059
"Wet_Tim","Wet_Tim",0.254866666666667,0.133072089507692,0.376661243825641,"Wet_Tim",0.0350666666666667,0.011154398908603,0.0589789344247304
"DS_Dur_WS","DS_Dur_WS",0.216733333333333,0.128974862275929,0.304491804390738,"DS_Dur_WS",0.00646666666666667,0.00323068747431494,0.00970264585901839
"Q99","Q99",0.3584,0.267538844036629,0.449261155963371,"Q99",0.0317333333333333,0.020312093062096,0.0431545736045707
"FA_Dur","FA_Dur",0.833733333333333,0.798149401983167,0.869317264683499,"FA_Dur",0.149,0.109168575420907,0.188831424579093
"FA_Mag","FA_Mag",0.341,0.230418952130123,0.451581047869877,"FA_Mag",0.0296,0.0221082861773824,0.0370917138226176
"FA_Tim","FA_Tim",0.2808,0.161438856356015,0.400161143643985,"FA_Tim",0.0500666666666667,0.0272993591988669,0.0728339741344665
