"","Paraleptophlebia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.24415,0.092356094389465,0.395943905610535,"DS_Tim",0.0974,0.0308753940259696,0.16392460597403
"DS_Mag_50","DS_Mag_50",0.21595,0.169556016979569,0.262343983020431,"DS_Mag_50",0.0897,0.0576157369104416,0.121784263089558
"DS_Mag_90","DS_Mag_90",0.3187,0.262500567244856,0.374899432755144,"DS_Mag_90",0.1144,0.0667240323852782,0.162075967614722
"SP_ROC","SP_ROC",0.12085,0.0564389361949362,0.185261063805064,"SP_ROC",0.1668,0.0562028425681745,0.277397157431826
"SP_Dur","SP_Dur",0.26495,0.189174316007706,0.340725683992294,"SP_Dur",0.0454,0.0255812111369034,0.0652187888630966
"SP_Mag","SP_Mag",0.2978,0.202725250628782,0.392874749371218,"SP_Mag",0.0699,0.0490417641685592,0.0907582358314408
"SP_Tim","SP_Tim",0.34705,0.273145320550726,0.420954679449274,"SP_Tim",0.062,0.0209764929826813,0.103023507017319
"Wet_BFL_Dur","Wet_BFL_Dur",0.7774,0.656546965813845,0.898253034186155,"Wet_BFL_Dur",0.3411,0.182064613843334,0.500135386156666
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.5354,0.354189745185323,0.716610254814677,"Wet_BFL_Mag_10",0.1211,0.101211914672347,0.140988085327653
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.18995,0.147020840207384,0.232879159792617,"Wet_BFL_Mag_50",0.0436,0.0386106545519477,0.0485893454480523
"Wet_Tim","Wet_Tim",0.3621,0.183523010838462,0.540676989161538,"Wet_Tim",0.0313,0.0184801540570879,0.0441198459429121
"DS_Dur_WS","DS_Dur_WS",0.2401,0.111624354712654,0.368575645287346,"DS_Dur_WS",0.0249,0.0163765348595774,0.0334234651404226
"Q99","Q99",0.5062,0.457900364204272,0.554499635795728,"Q99",0.1616,0.12376413035227,0.19943586964773
"FA_Dur","FA_Dur",0.0584,0.0179308646991315,0.0988691353008685,"FA_Dur",0.0292,0.00896543234956576,0.0494345676504342
"FA_Mag","FA_Mag",0.1331,0.130605327275974,0.135594672724026,"FA_Mag",0.0417,0.0195944278065462,0.0638055721934538
"FA_Tim","FA_Tim",0.51665,0.450506524581029,0.582793475418971,"FA_Tim",0.2215,0.117347413771909,0.325652586228091
