"","Hyalella","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.39826,0.270977368544251,0.525542631455749,"DS_Tim",0.346,0.224766771032031,0.467233228967969
"DS_Mag_50","DS_Mag_50",0.23634,0.173568833097512,0.299111166902488,"DS_Mag_50",0.2306,0.153196779666476,0.308003220333524
"DS_Mag_90","DS_Mag_90",0.28046,0.23341224740968,0.32750775259032,"DS_Mag_90",0.23964,0.178109367215996,0.301170632784004
"SP_ROC","SP_ROC",0.08676,0.0495011526640987,0.124018847335901,"SP_ROC",0.0624,0.0390602553141642,0.0857397446858358
"SP_Dur","SP_Dur",0.22282,0.118035110241505,0.327604889758495,"SP_Dur",0.1764,0.0653133580217675,0.287486641978232
"SP_Mag","SP_Mag",0.38212,0.29131848883306,0.47292151116694,"SP_Mag",0.28064,0.214773923687531,0.346506076312469
"SP_Tim","SP_Tim",0.28066,0.207783831822056,0.353536168177944,"SP_Tim",0.22668,0.136085384270366,0.317274615729634
"Wet_BFL_Dur","Wet_BFL_Dur",0.56178,0.363696606365652,0.759863393634348,"Wet_BFL_Dur",0.38064,0.248769967722761,0.512510032277239
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1769,0.147720551427417,0.206079448572583,"Wet_BFL_Mag_10",0.15952,0.134506606243854,0.184533393756146
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.15378,0.0880339462043538,0.219526053795646,"Wet_BFL_Mag_50",0.09276,0.0580703255016712,0.127449674498329
"Wet_Tim","Wet_Tim",0.10718,0.0366115667192476,0.177748433280752,"Wet_Tim",0.09392,0.0191415175655456,0.168698482434454
"DS_Dur_WS","DS_Dur_WS",0.23708,0.121387475000759,0.352772524999241,"DS_Dur_WS",0.20204,0.102291490593593,0.301788509406407
"Q99","Q99",0.22898,0.132126480512064,0.325833519487936,"Q99",0.19216,0.10165389875373,0.28266610124627
"FA_Dur","FA_Dur",0.11954,0.032395166181236,0.206684833818764,"FA_Dur",0.05724,0.0125869691644565,0.101893030835544
"FA_Mag","FA_Mag",0.17742,0.146538269451017,0.208301730548983,"FA_Mag",0.15768,0.129281077816227,0.186078922183773
"FA_Tim","FA_Tim",0.22638,0.203122765411597,0.249637234588403,"FA_Tim",0.13316,0.0965841076281111,0.169735892371889
