"","Turbellaria","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.3114,0.237903201403054,0.384896798596946,"DS_Tim",0.11212,0.084452602232953,0.139787397767047
"DS_Mag_50","DS_Mag_50",0.22484,0.133229578508774,0.316450421491226,"DS_Mag_50",0.14696,0.0821126365316214,0.211807363468379
"DS_Mag_90","DS_Mag_90",0.27076,0.195556216569244,0.345963783430756,"DS_Mag_90",0.141,0.0802279487757736,0.201772051224226
"SP_ROC","SP_ROC",0.27608,0.177507987180945,0.374652012819055,"SP_ROC",0.14852,0.0840499791748133,0.212990020825187
"SP_Dur","SP_Dur",0.24914,0.210869108433432,0.287410891566568,"SP_Dur",0.11128,0.0788955889786459,0.143664411021354
"SP_Mag","SP_Mag",0.45532,0.344310230181303,0.566329769818697,"SP_Mag",0.30196,0.177599845718976,0.426320154281024
"SP_Tim","SP_Tim",0.26216,0.161272018816412,0.363047981183588,"SP_Tim",0.09948,0.0519225982080602,0.14703740179194
"Wet_BFL_Dur","Wet_BFL_Dur",0.43118,0.353020626987545,0.509339373012454,"Wet_BFL_Dur",0.21348,0.152035031587607,0.274924968412393
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.14196,0.0650284894415819,0.218891510558418,"Wet_BFL_Mag_10",0.0762,0.0391882269811348,0.113211773018865
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.07402,0.0532024550991237,0.0948375449008763,"Wet_BFL_Mag_50",0.0412,0.0187501913148464,0.0636498086851536
"Wet_Tim","Wet_Tim",0.50954,0.38235431686192,0.63672568313808,"Wet_Tim",0.29716,0.191917412618275,0.402402587381725
"DS_Dur_WS","DS_Dur_WS",0.13992,0.0799330680714541,0.199906931928546,"DS_Dur_WS",0.06628,0.0243929037864881,0.108167096213512
"Q99","Q99",0.27332,0.193540013821134,0.353099986178866,"Q99",0.19072,0.129822773189578,0.251617226810422
"FA_Dur","FA_Dur",0.09846,0.0492064367146904,0.14771356328531,"FA_Dur",0.0434,0.0235955117208245,0.0632044882791755
"FA_Mag","FA_Mag",0.2878,0.216183545476616,0.359416454523384,"FA_Mag",0.1576,0.114624904840129,0.200575095159871
"FA_Tim","FA_Tim",0.16154,0.109428521885289,0.213651478114711,"FA_Tim",0.05128,0.021597031091887,0.0809629689081129
