"","Mideopsis","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.38454,0.280046293101929,0.489033706898071,"DS_Tim",0.12512,0.0822124707399739,0.168027529260026
"DS_Mag_50","DS_Mag_50",0.32772,0.236095939149697,0.419344060850303,"DS_Mag_50",0.07784,0.0616703860652148,0.0940096139347852
"DS_Mag_90","DS_Mag_90",0.32052,0.199414215568785,0.441625784431215,"DS_Mag_90",0.08148,0.0578794309136411,0.105080569086359
"SP_ROC","SP_ROC",0.30424,0.195831452738725,0.412648547261275,"SP_ROC",0.1004,0.0546708960288964,0.146129103971104
"SP_Dur","SP_Dur",0.41192,0.25712135547525,0.56671864452475,"SP_Dur",0.18096,0.0811328831288813,0.280787116871119
"SP_Mag","SP_Mag",0.2876,0.183562966216352,0.391637033783648,"SP_Mag",0.1082,0.0366433218071157,0.179756678192884
"SP_Tim","SP_Tim",0.49154,0.359594019546634,0.623485980453366,"SP_Tim",0.10432,0.0720740832166303,0.13656591678337
"Wet_BFL_Dur","Wet_BFL_Dur",0.3601,0.220977056870551,0.499222943129449,"Wet_BFL_Dur",0.161,0.0925933324302375,0.229406667569763
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.20744,0.154459571676892,0.260420428323108,"Wet_BFL_Mag_10",0.04492,0.0184488775228552,0.0713911224771448
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.2066,0.151477417386338,0.261722582613662,"Wet_BFL_Mag_50",0.06344,0.0423867122092534,0.0844932877907466
"Wet_Tim","Wet_Tim",0.52146,0.430453249638832,0.612466750361168,"Wet_Tim",0.21644,0.12602504385446,0.30685495614554
"DS_Dur_WS","DS_Dur_WS",0.37494,0.283967936253485,0.465912063746515,"DS_Dur_WS",0.12024,0.0796540125560558,0.160825987443944
"Q99","Q99",0.38764,0.288893227327168,0.486386772672832,"Q99",0.13096,0.0451432907482465,0.216776709251754
"FA_Dur","FA_Dur",0.22552,0.129380005805596,0.321659994194404,"FA_Dur",0.04752,0.0157123490776197,0.0793276509223803
"FA_Mag","FA_Mag",0.26432,0.194702954474497,0.333937045525503,"FA_Mag",0.07748,0.0484215870495307,0.106538412950469
"FA_Tim","FA_Tim",0.3335,0.251879927658694,0.415120072341306,"FA_Tim",0.16512,0.0988077150657587,0.231432284934241
