"","Pentaneura","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.27626,0.170315673477529,0.382204326522471,"DS_Tim",0.20196,0.11522907537216,0.28869092462784
"DS_Mag_50","DS_Mag_50",0.27578,0.232334938143674,0.319225061856326,"DS_Mag_50",0.18672,0.151768289352308,0.221671710647692
"DS_Mag_90","DS_Mag_90",0.30672,0.219843909254617,0.393596090745383,"DS_Mag_90",0.2022,0.134215647550337,0.270184352449663
"SP_ROC","SP_ROC",0.143,0.0705792515331414,0.215420748466859,"SP_ROC",0.09544,0.0510217013518077,0.139858298648192
"SP_Dur","SP_Dur",0.14522,0.0367390550409889,0.253700944959011,"SP_Dur",0.09988,0.0248909596727628,0.174869040327237
"SP_Mag","SP_Mag",0.53242,0.433063498545893,0.631776501454107,"SP_Mag",0.4266,0.324749448180189,0.528450551819811
"SP_Tim","SP_Tim",0.27432,0.160517832820724,0.388122167179277,"SP_Tim",0.17728,0.0997766951982046,0.254783304801795
"Wet_BFL_Dur","Wet_BFL_Dur",0.48604,0.448038508143758,0.524041491856242,"Wet_BFL_Dur",0.31808,0.272126432116755,0.364033567883245
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.24752,0.117589358097483,0.377450641902517,"Wet_BFL_Mag_10",0.1674,0.069695793898113,0.265104206101887
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.25648,0.129817808290319,0.383142191709681,"Wet_BFL_Mag_50",0.20828,0.105035090715329,0.311524909284671
"Wet_Tim","Wet_Tim",0.31268,0.185092395571905,0.440267604428095,"Wet_Tim",0.24048,0.141252747235449,0.33970725276455
"DS_Dur_WS","DS_Dur_WS",0.12092,0.0811198212604516,0.160720178739548,"DS_Dur_WS",0.07944,0.0471696847737739,0.111710315226226
"Q99","Q99",0.48604,0.419055435387695,0.553024564612304,"Q99",0.37232,0.281820287065649,0.462819712934351
"FA_Dur","FA_Dur",0.09544,0.0681465249592508,0.122733475040749,"FA_Dur",0.05176,0.0341083799383739,0.0694116200616261
"FA_Mag","FA_Mag",0.47704,0.43893613368305,0.51514386631695,"FA_Mag",0.32848,0.273283001773647,0.383676998226353
"FA_Tim","FA_Tim",0.29756,0.201546850003242,0.393573149996758,"FA_Tim",0.17468,0.123398247093142,0.225961752906858
