"","Limnophyes","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.38336,0.222821332828194,0.543898667171806,"DS_Tim",0.18116,0.0875828691570424,0.274737130842958
"DS_Mag_50","DS_Mag_50",0.27222,0.16335551663559,0.38108448336441,"DS_Mag_50",0.11124,0.0607340762801035,0.161745923719896
"DS_Mag_90","DS_Mag_90",0.28494,0.173058440456883,0.396821559543117,"DS_Mag_90",0.11448,0.0532703657811942,0.175689634218806
"SP_ROC","SP_ROC",0.18774,0.042846840091397,0.332633159908603,"SP_ROC",0.04636,0.0241741549000269,0.0685458450999731
"SP_Dur","SP_Dur",0.3988,0.364590015616782,0.433009984383218,"SP_Dur",0.16224,0.112925235387361,0.211554764612639
"SP_Mag","SP_Mag",0.52982,0.474685218290085,0.584954781709915,"SP_Mag",0.25848,0.161950283553716,0.355009716446284
"SP_Tim","SP_Tim",0.23394,0.120574411798377,0.347305588201623,"SP_Tim",0.14484,0.0534434955766907,0.236236504423309
"Wet_BFL_Dur","Wet_BFL_Dur",0.49524,0.356185305301115,0.634294694698885,"Wet_BFL_Dur",0.20908,0.11514986029394,0.30301013970606
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.34666,0.230157043145678,0.463162956854322,"Wet_BFL_Mag_10",0.19168,0.0967445871068125,0.286615412893188
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.22532,0.107785323913749,0.342854676086251,"Wet_BFL_Mag_50",0.0494,0.0194981941348018,0.0793018058651982
"Wet_Tim","Wet_Tim",0.33612,0.191206617632463,0.481033382367537,"Wet_Tim",0.1374,0.0615533496718543,0.213246650328146
"DS_Dur_WS","DS_Dur_WS",0.2888,0.211519310148007,0.366080689851993,"DS_Dur_WS",0.11996,0.0664325112414191,0.173487488758581
"Q99","Q99",0.3647,0.224996243592021,0.504403756407979,"Q99",0.187,0.106197291406785,0.267802708593215
"FA_Dur","FA_Dur",0.08504,0.0483812107223929,0.121698789277607,"FA_Dur",0.05052,0.0256331513204263,0.0754068486795737
"FA_Mag","FA_Mag",0.37548,0.273582904184172,0.477377095815828,"FA_Mag",0.16432,0.107528953494411,0.221111046505589
"FA_Tim","FA_Tim",0.45868,0.318359221792708,0.599000778207292,"FA_Tim",0.114,0.0642428221861408,0.163757177813859
