"","Libellulidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.25766,0.150810774823586,0.364509225176414,"DS_Tim",0.1128,0.0520790149454079,0.173520985054592
"DS_Mag_50","DS_Mag_50",0.37116,0.301337685595506,0.440982314404494,"DS_Mag_50",0.18008,0.108925871889257,0.251234128110743
"DS_Mag_90","DS_Mag_90",0.40702,0.260441721545449,0.553598278454551,"DS_Mag_90",0.18044,0.102940914697011,0.257939085302989
"SP_ROC","SP_ROC",0.21894,0.13846508454307,0.29941491545693,"SP_ROC",0.14292,0.0619152902035937,0.223924709796406
"SP_Dur","SP_Dur",0.38712,0.25906075503229,0.51517924496771,"SP_Dur",0.10944,0.0655050905679777,0.153374909432022
"SP_Mag","SP_Mag",0.4115,0.380913028010279,0.442086971989721,"SP_Mag",0.2272,0.163818959317474,0.290581040682526
"SP_Tim","SP_Tim",0.3153,0.164124485616883,0.466475514383117,"SP_Tim",0.1942,0.0626664933410502,0.32573350665895
"Wet_BFL_Dur","Wet_BFL_Dur",0.52874,0.406234999162075,0.651245000837925,"Wet_BFL_Dur",0.22928,0.120511310317721,0.338048689682279
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1797,0.104398294438306,0.255001705561694,"Wet_BFL_Mag_10",0.07112,0.0373046317305282,0.104935368269472
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.17826,0.108338462804369,0.248181537195631,"Wet_BFL_Mag_50",0.05576,0.0312142375388337,0.0803057624611663
"Wet_Tim","Wet_Tim",0.31276,0.216308278769635,0.409211721230365,"Wet_Tim",0.16856,0.0543803812635547,0.282739618736445
"DS_Dur_WS","DS_Dur_WS",0.38452,0.319136688836523,0.449903311163477,"DS_Dur_WS",0.13916,0.0914576808236748,0.186862319176325
"Q99","Q99",0.38638,0.301700164048931,0.471059835951069,"Q99",0.21672,0.103112073968407,0.330327926031593
"FA_Dur","FA_Dur",0.1516,0.079300728312797,0.223899271687203,"FA_Dur",0.11028,0.0600623577096654,0.160497642290335
"FA_Mag","FA_Mag",0.26164,0.16536059464091,0.35791940535909,"FA_Mag",0.06576,0.0413313105795665,0.0901886894204335
"FA_Tim","FA_Tim",0.24766,0.199722388176923,0.295597611823077,"FA_Tim",0.09608,0.0411662091528913,0.150993790847109
